setid,"Temperature, K",Mole fraction of 2-hydroxy-N-methylethanaminium pentanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SkjpH,303.15,1,102,1006,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,0.0199,102,1006.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,0.05,102,1019.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,0.0988,102,1020.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,0.2023,102,1023.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,0.3,102,1022.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,0.4053,102,1018.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,0.5003,102,1014.6,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,0.5993,102,1012.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,0.8061,102,1006.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,308.15,1,102,1002.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,0.0199,102,1002.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,0.05,102,1015.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,0.0988,102,1017.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,0.2023,102,1020.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,0.3,102,1019.2,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,0.4053,102,1015.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,0.5003,102,1011.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,0.5993,102,1009.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,0.8061,102,1003.6,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,313.15,1,102,999.6,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,0.0199,102,999.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,0.05,102,1012.6,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,0.0988,102,1014.4,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,0.2023,102,1017.6,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,0.3,102,1016.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,0.4053,102,1012.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,0.5003,102,1008.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,0.5993,102,1006.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,0.8061,102,1000.4,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,318.15,1,102,996.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,0.0199,102,995.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,0.05,102,1009.2,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,0.0988,102,1011.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,0.2023,102,1014.6,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,0.3,102,1012.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,0.4053,102,1009.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,0.5003,102,1005.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,0.5993,102,1003.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,0.8061,102,997.2,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,323.15,1,102,993.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,0.0199,102,992.4,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,0.05,102,1005.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,0.0988,102,1007.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,0.2023,102,1011.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,0.3,102,1009.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,0.4053,102,1006.4,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,0.5003,102,1002,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,0.5993,102,999.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,0.8061,102,993.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,328.15,1,102,989.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,0.0199,102,988.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,0.05,102,1002.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,0.0988,102,1004.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,0.2023,102,1008.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,0.3,102,1006.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,0.4053,102,1003.2,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,0.5003,102,998.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,0.5993,102,996.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,0.8061,102,990.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
SkjpH,333.15,1,102,986.7,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAiEQh,CCCCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium pentanoate,,,
