setid,"Temperature, K",Mole fraction of water,Mole fraction of dimethyl sulfoxide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WLpgS,303.15,0.004,0.15,100,1142.6,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,303.15,0.004,0.249,100,1141.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,303.15,0.004,0.497,100,1136.4,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,303.15,0.005,0.768,100,1124.6,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,303.15,0.008,0.886,100,1111.6,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,303.15,0.019,0.048,100,1143.8,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,313.15,0,1,100,1081.1,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,313.15,0.003,0.1,100,1136.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,313.15,0.004,0.15,100,1135.7,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,313.15,0.004,0.249,100,1134.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,313.15,0.004,0.497,100,1129,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,313.15,0.005,0.768,100,1116.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,313.15,0.008,0.886,100,1102.6,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,313.15,0.019,0.048,100,1137,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,323.15,0,1,100,1071.1,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,323.15,0.003,0.1,100,1129.4,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,323.15,0.004,0.15,100,1128.8,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,323.15,0.004,0.249,100,1127.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,323.15,0.004,0.497,100,1121.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,323.15,0.005,0.768,100,1108.1,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,323.15,0.008,0.886,100,1093.5,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,323.15,0.019,0.048,100,1130.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,333.15,0,1,100,1061.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,333.15,0.003,0.1,100,1122.8,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,333.15,0.004,0.15,100,1121.9,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,333.15,0.004,0.249,100,1120.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,333.15,0.004,0.497,100,1113.4,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,333.15,0.005,0.768,100,1099.9,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,333.15,0.008,0.886,100,1084.7,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,333.15,0.019,0.048,100,1123.7,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,343.15,0,1,100,1051.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,343.15,0.003,0.1,100,1116.1,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,343.15,0.004,0.15,100,1115.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,343.15,0.004,0.249,100,1113.4,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,343.15,0.004,0.497,100,1106,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,343.15,0.005,0.768,100,1091.7,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,343.15,0.008,0.886,100,1075.6,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,343.15,0.019,0.048,100,1117.1,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,353.15,0,1,100,1041.1,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,353.15,0.003,0.1,100,1109.4,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,353.15,0.004,0.15,100,1108.5,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,353.15,0.004,0.249,100,1106.6,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,353.15,0.004,0.497,100,1098.8,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,353.15,0.005,0.768,100,1083.6,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,353.15,0.008,0.886,100,1066.8,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,353.15,0.019,0.048,100,1110.4,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,363.15,0,1,100,1031.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,363.15,0.003,0.1,100,1102.8,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,363.15,0.004,0.15,100,1101.8,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,363.15,0.004,0.249,100,1099.9,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,363.15,0.004,0.497,100,1091.5,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,363.15,0.005,0.768,100,1075.6,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,363.15,0.008,0.886,100,1057.8,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,363.15,0.019,0.048,100,1103.8,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,373.15,0,1,100,1021.4,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,373.15,0.003,0.1,100,1096.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,373.15,0.004,0.15,100,1095.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,373.15,0.004,0.249,100,1093.2,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,373.15,0.004,0.497,100,1084.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,373.15,0.005,0.768,100,1067.5,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,373.15,0.008,0.886,100,1049,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
WLpgS,373.15,0.019,0.048,100,1097.3,Pablo et al. (2018),Density,Liquid,AADYJk,O,water,AAPByN,CS(C)=O,dimethyl sulfoxide,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
