setid,"MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","MolaLity of potassium 3-ethoxy-3-oxopropanoate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dEQCy,0.0453,298.15,101.3,0.25,1013.71,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0453,303.15,101.3,0.25,1012.11,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0453,308.15,101.3,0.25,1010.3,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0453,313.15,101.3,0.25,1008.32,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0963,288.15,101.3,0.25,1016.69,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0963,293.15,101.3,0.25,1015.48,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0963,298.15,101.3,0.25,1014.05,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0963,303.15,101.3,0.25,1012.4,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0963,308.15,101.3,0.25,1010.57,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.0963,313.15,101.3,0.25,1008.55,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.1498,288.15,101.3,0.25,1017.13,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.1498,293.15,101.3,0.25,1015.88,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.1498,298.15,101.3,0.25,1014.39,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.1498,303.15,101.3,0.25,1012.71,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.1498,308.15,101.3,0.25,1010.84,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.1498,313.15,101.3,0.25,1008.79,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2012,288.15,101.3,0.25,1017.57,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2012,293.15,101.3,0.25,1016.27,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2012,298.15,101.3,0.25,1014.75,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2012,303.15,101.3,0.25,1013.02,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2012,308.15,101.3,0.25,1011.11,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2012,313.15,101.3,0.25,1009.03,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.247,288.15,101.3,0.25,1017.96,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.247,293.15,101.3,0.25,1016.61,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.247,298.15,101.3,0.25,1015.05,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.247,303.15,101.3,0.25,1013.29,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.247,308.15,101.3,0.25,1011.35,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.247,313.15,101.3,0.25,1009.24,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2951,288.15,101.3,0.25,1018.37,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2951,293.15,101.3,0.25,1016.98,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2951,298.15,101.3,0.25,1015.38,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2951,303.15,101.3,0.25,1013.59,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2951,308.15,101.3,0.25,1011.61,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.2951,313.15,101.3,0.25,1009.47,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3667,288.15,101.3,0.25,1018.95,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3667,293.15,101.3,0.25,1017.5,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3667,298.15,101.3,0.25,1015.84,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3667,303.15,101.3,0.25,1014,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3667,308.15,101.3,0.25,1011.97,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3667,313.15,101.3,0.25,1009.78,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3869,288.15,101.3,0.25,1019.12,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3869,293.15,101.3,0.25,1017.65,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3869,298.15,101.3,0.25,1015.98,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3869,303.15,101.3,0.25,1014.12,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3869,308.15,101.3,0.25,1012.08,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
dEQCy,0.3869,313.15,101.3,0.25,1009.88,Sadeghi and Mahdavi (2012),Density,Liquid,AAgmSp,CCOC(=O)CC(=O)[O-].[K+],potassium 3-ethoxy-3-oxopropanoate,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
