setid,"Temperature, K",Mole fraction of ethylammonium nitrate,"Pressure, kPa","Specific volume, m<SUP>3</SUP>/kg",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OOEaX,298.15,0,101,0.001003,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.0008,101,0.0010019,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.00199,101,0.0010002,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.00393,101,0.0009977,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.01186,101,0.0009878,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.02251,101,0.000976,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.04273,101,0.0009568,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.07652,101,0.0009323,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.10753,101,0.0009154,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.17052,101,0.0008917,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.32346,101,0.0008612,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.3689,101,0.0008559,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.5278,101,0.0008432,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.6638,101,0.0008368,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.74836,101,0.0008334,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.8445,101,0.0008295,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.8934,101,0.0008283,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.93104,101,0.0008276,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,0.99501,101,0.0008271,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,298.15,1,101,0.0008271,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0,101,0.0010099,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.0008,101,0.0010088,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.00199,101,0.0010073,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.00393,101,0.0010048,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.01186,101,0.0009954,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.02251,101,0.000984,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.04273,101,0.0009655,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.07652,101,0.0009415,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.10753,101,0.0009252,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.17052,101,0.0009084,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.32346,101,0.000871,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.3689,101,0.0008657,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.5278,101,0.0008527,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.8445,101,0.0008382,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.8934,101,0.000837,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.93104,101,0.0008361,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,0.99501,101,0.0008357,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
OOEaX,318.15,1,101,0.0008357,Allen et al. (1985),Density,Liquid,AADYJk,O,water,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
