setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 2-aminoethan-1-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nZWzz,0.0977,0.2442,313.15,101.3,1082.8,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0977,0.2442,318.15,101.3,1079,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0977,0.2442,323.15,101.3,1074.8,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0977,0.2442,328.15,101.3,1071.7,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0977,0.2442,333.15,101.3,1070.3,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.1701,0.3402,293.15,101.3,1117.9,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.1701,0.3402,298.15,101.3,1113.9,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.1701,0.3402,303.15,101.3,1109.9,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.1701,0.3402,308.15,101.3,1106,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.1701,0.3402,313.15,101.3,1102.1,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.1701,0.3402,318.15,101.3,1098.2,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.1701,0.3402,323.15,101.3,1094.3,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.1701,0.3402,328.15,101.3,1090.7,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.1701,0.3402,333.15,101.3,1089.2,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
