setid,"Temperature, K",Mole fraction of tetradecyltrihexylphosphonium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZfOQU,298.15,0.475,101,957.26,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,298.15,0.5659,101,957.6,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,298.15,0.7337,101,958,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,298.15,0.8695,101,958.1,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.0374,101,943.47,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.0791,101,946.81,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.0932,101,947.64,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.153,101,950.23,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.2252,101,951.74,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.3292,101,953.03,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.475,101,953.9,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.5659,101,954.3,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.7337,101,954.7,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,303.15,0.8695,101,954.9,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.0374,101,939.06,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.0791,101,942.7,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.0932,101,943.59,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.153,101,946.4,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.2252,101,948.11,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.3292,101,949.55,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.475,101,950.57,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.5659,101,951,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.7337,101,951.5,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,308.15,0.8695,101,951.8,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.0374,101,934.62,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.0791,101,938.56,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.0932,101,939.52,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.153,101,942.56,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.2252,101,944.46,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.3292,101,946.05,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.475,101,947.21,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.5659,101,947.7,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.7337,101,948.3,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
ZfOQU,313.15,0.8695,101,948.6,Juarez-Camacho et al. (2012),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,
