setid,"Temperature, K",Mole fraction of 4-butyl-4-methylmorpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vcjAx,333.15,0.3007,100,1240.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0,100,980.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.0017,100,985.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.0033,100,990,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.0066,100,999.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.0088,100,1005,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.0167,100,1024.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.034,100,1059.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.0363,100,1064.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.0601,100,1101.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.0988,100,1144.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.1242,100,1164.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.154,100,1184,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.2027,100,1207.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.2383,100,1220.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.2569,100,1225.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,338.15,0.3007,100,1237.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0,100,978.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.0017,100,982.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.0033,100,987.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.0066,100,996.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.0088,100,1002.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.0167,100,1021.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.034,100,1056.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.0363,100,1061.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.0601,100,1097.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.0988,100,1140.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.1242,100,1161.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.154,100,1180.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.2027,100,1203.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.2383,100,1216.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.2569,100,1222.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,343.15,0.3007,100,1233.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
