setid,"Temperature, K",Mole fraction of 4-butyl-4-methylmorpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vcjAx,303.15,0.1242,100,1188.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.154,100,1208.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.2027,100,1231.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.2383,100,1244,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.2569,100,1249.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.3007,100,1260.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0,100,994,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.0017,100,999.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.0033,100,1003.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,308.15,0.0066,100,1013.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
