setid,"Temperature, K","MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of dodecanoic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LLbkO,303.15,0.0007,101,0.1,796.1,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0009,101,0.1,791,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0011,101,0.1,790.4,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0013,101,0.1,790.1,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0015,101,0.1,789.8,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0017,101,0.1,789.3,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0019,101,0.1,788.8,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,303.15,0.0021,101,0.1,787.9,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0,101,0.1,804.4,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0001,101,0.1,792.4,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0003,101,0.1,793.5,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0005,101,0.1,796.2,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0007,101,0.1,791.5,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0009,101,0.1,787.2,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0011,101,0.1,786.4,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0013,101,0.1,786,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0015,101,0.1,785.5,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0017,101,0.1,784.9,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0019,101,0.1,784.3,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,308.15,0.0021,101,0.1,783.9,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0,101,0.1,803.2,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0001,101,0.1,788.5,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0003,101,0.1,789.5,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0005,101,0.1,792.1,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0007,101,0.1,787.1,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0009,101,0.1,783,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0011,101,0.1,781.9,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0013,101,0.1,781.3,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0015,101,0.1,780.9,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0017,101,0.1,780.4,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0019,101,0.1,779.8,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
LLbkO,313.15,0.0021,101,0.1,779.3,Khan et al. (2017c),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAIsrh,CCO,ethanol,AAmbQR,CCCCCCCCCCCC(=O)O,dodecanoic acid
