setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","MolaLity of L-valine, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
klMzW,0.0965,0.0846,298.15,101.3,1.3372,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.0965,0.1573,298.15,101.3,1.3386,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.0965,0.1911,298.15,101.3,1.3392,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.0965,0.24,298.15,101.3,1.3402,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.0965,0.2985,298.15,101.3,1.3413,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.0965,0.35,298.15,101.3,1.3423,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.0965,0.3943,298.15,101.3,1.3428,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.1965,0,298.15,101.3,1.3388,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.1965,0.1046,298.15,101.3,1.3408,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.1965,0.1475,298.15,101.3,1.3417,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.1965,0.1977,298.15,101.3,1.3427,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.1965,0.2507,298.15,101.3,1.3438,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.1965,0.2965,298.15,101.3,1.3447,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.1965,0.3552,298.15,101.3,1.3458,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.1965,0.3899,298.15,101.3,1.3466,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.1965,0.4455,298.15,101.3,1.3476,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.2946,0,298.15,101.3,1.3414,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.2946,0.1022,298.15,101.3,1.3437,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.2946,0.1492,298.15,101.3,1.3446,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.2946,0.2074,298.15,101.3,1.3457,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.2946,0.2433,298.15,101.3,1.3464,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.2946,0.2907,298.15,101.3,1.3473,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.2946,0.3357,298.15,101.3,1.3482,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.2946,0.397,298.15,101.3,1.3494,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.2946,0.4669,298.15,101.3,1.3508,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.3949,0,298.15,101.3,1.3434,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.3949,0.0992,298.15,101.3,1.3462,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.3949,0.1538,298.15,101.3,1.3473,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.3949,0.1963,298.15,101.3,1.3481,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.3949,0.2574,298.15,101.3,1.3493,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.3949,0.3128,298.15,101.3,1.3503,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.3949,0.3453,298.15,101.3,1.351,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.3949,0.387,298.15,101.3,1.3518,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
klMzW,0.3949,0.476,298.15,101.3,1.3536,Shekaari and Jebali (2010c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
