setid,Weight fraction of 1-methyl-3-propylimidazolium bromide,Weight fraction of cesium carbonate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
EloYO,0.1026,0.06,298.15,101,1.35369,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1031,0.03,298.15,101,1.35058,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1197,0.0301,298.15,101,1.35324,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1199,0,298.15,101,1.35029,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1202,0.06,298.15,101,1.35656,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1368,0.0301,298.15,101,1.35599,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1371,0.06,298.15,101,1.35936,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1379,0,298.15,101,1.35311,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1542,0,298.15,101,1.35574,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1544,0.03,298.15,101,1.35886,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.15678,0.0599,298.15,101,1.36262,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1713,0.03,298.15,101,1.36168,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1718,0,298.15,101,1.35858,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
EloYO,0.1742,0.06,298.15,101,1.36559,Yin et al. (2013),Refractive index,Liquid,ABKiHk,O=C([O-])[O-].[Cs+].[Cs+],cesium carbonate,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
