setid,"Temperature, K",Mole fraction of ammonium chloride (NH4Cl),"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NsUmI,313.15,0,101,1.49597,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,313.15,0.0505,101,1.49682,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,313.15,0.0999,101,1.49765,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,313.15,0.1702,101,1.49876,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,313.15,0.25,101,1.49992,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,313.15,0.3297,101,1.50085,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,318.15,0,101,1.49465,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,318.15,0.0505,101,1.49547,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,318.15,0.0999,101,1.49627,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,318.15,0.1702,101,1.49736,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,318.15,0.25,101,1.49854,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,318.15,0.3297,101,1.49951,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,323.15,0,101,1.49331,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,323.15,0.0505,101,1.49409,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,323.15,0.0999,101,1.49489,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,323.15,0.1702,101,1.49594,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,323.15,0.25,101,1.49715,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
NsUmI,323.15,0.3297,101,1.49817,Oliveira et al. (2015),Refractive index,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
