setid,"Temperature, K","MolaRity of tetradecyltrimethylammonium bromide, mol/dm3","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
SrDtG,298.15,0.00412,101,1.33275,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,298.15,0.00467,101,1.33276,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,303.15,0.00027,101,1.33198,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,303.15,0.00082,101,1.33201,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,303.15,0.00137,101,1.33204,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,303.15,0.00192,101,1.33207,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,303.15,0.00247,101,1.3321,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,303.15,0.00302,101,1.33214,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,303.15,0.00357,101,1.33217,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,303.15,0.00412,101,1.33219,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,303.15,0.00467,101,1.33221,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,308.15,0.00027,101,1.3313,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,308.15,0.00082,101,1.33133,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,308.15,0.00137,101,1.33136,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,308.15,0.00192,101,1.33139,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,308.15,0.00247,101,1.33143,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,308.15,0.00302,101,1.33146,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,308.15,0.00357,101,1.33149,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,308.15,0.00412,101,1.33152,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
SrDtG,308.15,0.00467,101,1.33153,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,,
