setid,"Temperature, K","MolaLity of 1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xqjzA,288.15,0.23711,101,1.351,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.40597,101,1.3538,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,288.15,0.60891,101,1.3571,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0,101,1.3439,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.02029,101,1.3441,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.02813,101,1.3442,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.03922,101,1.3443,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.04982,101,1.3445,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.05957,101,1.3449,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.06919,101,1.345,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.07996,101,1.3451,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.09008,101,1.3454,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.10106,101,1.3457,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.23711,101,1.3488,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.40597,101,1.3515,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,293.15,0.60891,101,1.3549,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0,101,1.3419,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.02029,101,1.3423,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.02813,101,1.3424,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.03922,101,1.3426,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.04982,101,1.3428,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.05957,101,1.3429,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.06919,101,1.3431,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.07996,101,1.3434,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.09008,101,1.3436,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.10106,101,1.3438,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.23711,101,1.3465,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.40597,101,1.3494,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
xqjzA,298.15,0.60891,101,1.3527,Majdan-Cegincara et al. (2015),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
