setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
AlddA,318.15,0.0986,101,1.3312,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.1413,101,1.3325,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.1816,101,1.3338,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.2223,101,1.3346,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.2764,101,1.3362,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.3386,101,1.3377,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.371,101,1.3387,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.4863,101,1.3415,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.599,101,1.3442,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.7152,101,1.3467,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,0.9754,101,1.3528,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,1.4915,101,1.3631,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,1.9999,101,1.3723,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,318.15,2.9617,101,1.3872,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.0105,101,1.3273,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.023,101,1.3275,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.0289,101,1.3277,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.0398,101,1.328,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.0621,101,1.3288,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.0803,101,1.329,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.0986,101,1.3297,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.1413,101,1.3309,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.1816,101,1.3319,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.2223,101,1.3331,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.2764,101,1.3343,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.3386,101,1.3358,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.371,101,1.3369,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.4863,101,1.3398,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.599,101,1.3422,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.7152,101,1.3449,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,0.9754,101,1.3508,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,1.4915,101,1.3611,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,1.9999,101,1.3703,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
AlddA,328.15,2.9617,101,1.3849,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
