setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
DozCe,308.15,0.94121,100,1.47309,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,308.15,1,100,1.47498,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0,100,1.39726,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.04876,100,1.40463,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.09058,100,1.41063,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.13425,100,1.41636,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.17272,100,1.421,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.25898,100,1.43019,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.34705,100,1.43811,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.4489,100,1.44583,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.54838,100,1.45222,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.64522,100,1.45761,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.76737,100,1.4635,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.81543,100,1.46557,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.87976,100,1.46814,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,0.94121,100,1.47036,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,318.15,1,100,1.47228,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0,100,1.39296,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.04876,100,1.40061,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.09058,100,1.40674,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.13425,100,1.41258,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.17272,100,1.41731,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.25898,100,1.42666,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.34705,100,1.43472,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.4489,100,1.44258,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.54838,100,1.44911,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.64522,100,1.45464,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.76737,100,1.46069,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.81543,100,1.46281,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.87976,100,1.46543,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,0.94121,100,1.46768,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
DozCe,328.15,1,100,1.46966,Reddy et al. (2016a),Refractive index,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
