setid,"Temperature, K",Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of cesium sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cXLjZ,298.2,0.8532,0.0004,100,1.49821,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0,0.656,100,1.40999,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.0336,0.607,100,1.41068,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.0774,0.547,100,1.41269,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.1343,0.475,100,1.41574,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.216,0.368,100,1.41919,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.31,0.274,100,1.42528,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.4316,0.157,100,1.43271,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.563,0.058,100,1.44685,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.6686,0.021,100,1.46314,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.7631,0.0066,100,1.48094,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
cXLjZ,308.2,0.8523,0.0014,100,1.49821,Li et al. (2019e),Refractive index,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
