setid,Weight fraction of N-pentadecyl-N-methylmorpholinium bromide,"Temperature, K","MolaRity of tetradecyltrimethylammonium bromide, mol/dm3","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TcTnw,0.0003,298.15,0.00082,101,1.33261,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,298.15,0.00137,101,1.33265,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,298.15,0.00192,101,1.33268,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,298.15,0.00247,101,1.33271,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,298.15,0.00302,101,1.33274,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,298.15,0.00357,101,1.33277,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,298.15,0.00412,101,1.33279,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,298.15,0.00467,101,1.33281,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,303.15,0.00027,101,1.33202,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,303.15,0.00082,101,1.33206,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,303.15,0.00137,101,1.33209,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,303.15,0.00192,101,1.33212,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,303.15,0.00247,101,1.33216,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,303.15,0.00302,101,1.33219,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,303.15,0.00357,101,1.33221,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,303.15,0.00412,101,1.33223,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,303.15,0.00467,101,1.33225,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,308.15,0.00027,101,1.33134,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,308.15,0.00082,101,1.33137,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,308.15,0.00137,101,1.3314,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,308.15,0.00192,101,1.33143,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,308.15,0.00247,101,1.33146,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,308.15,0.00302,101,1.33149,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,308.15,0.00357,101,1.33152,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,308.15,0.00412,101,1.33154,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0003,308.15,0.00467,101,1.33156,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,293.15,0.00027,101,1.33312,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,293.15,0.00082,101,1.33316,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,293.15,0.00137,101,1.3332,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,293.15,0.00192,101,1.33323,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,293.15,0.00247,101,1.33327,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,293.15,0.00302,101,1.3333,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,293.15,0.00357,101,1.33332,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,293.15,0.00412,101,1.33335,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,293.15,0.00467,101,1.33337,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,298.15,0.00027,101,1.33264,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,298.15,0.00082,101,1.33267,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,298.15,0.00137,101,1.33271,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,298.15,0.00192,101,1.33271,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,298.15,0.00247,101,1.33277,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,298.15,0.00302,101,1.3328,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,298.15,0.00357,101,1.33282,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,298.15,0.00412,101,1.33284,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,298.15,0.00467,101,1.33286,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,303.15,0.00027,101,1.33206,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,303.15,0.00082,101,1.3321,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,303.15,0.00137,101,1.33214,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,303.15,0.00192,101,1.33217,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,303.15,0.00247,101,1.33221,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,303.15,0.00302,101,1.33224,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,303.15,0.00357,101,1.33226,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,303.15,0.00412,101,1.33229,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,303.15,0.00467,101,1.33231,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,308.15,0.00027,101,1.33139,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,308.15,0.00082,101,1.33142,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,308.15,0.00137,101,1.33145,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,308.15,0.00192,101,1.33148,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,308.15,0.00247,101,1.33151,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,308.15,0.00302,101,1.33154,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,308.15,0.00357,101,1.33156,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,308.15,0.00412,101,1.33158,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.0006,308.15,0.00467,101,1.3316,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,293.15,0.00027,101,1.33319,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,293.15,0.00082,101,1.33322,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,293.15,0.00137,101,1.33326,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
TcTnw,0.001,293.15,0.00192,101,1.33329,Kaur et al. (2023),Refractive index,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,ABXYdj,CCCCCCCCCCCCCCC[N+]1(CCOCC1)C.[Br-],N-pentadecyl-N-methylmorpholinium bromide,AADYJk,O,water,
