setid,"Temperature, K",Weight fraction of water,Weight fraction of acetone,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rUxaC,293.2,0.609,0.3268,81.5,1.35925,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.6676,0.2823,81.5,1.35535,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.7226,0.2452,81.5,1.3521,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.7753,0.2051,81.5,1.34845,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.8356,0.1495,81.5,1.34415,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.8836,0.1053,81.5,1.34155,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.936,0.0554,81.5,1.33715,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.993,0,81.5,1.3334,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.0161,0,81.5,1.41525,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.0198,0.0505,81.5,1.41255,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.0253,0.0976,81.5,1.40885,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.0344,0.1448,81.5,1.40625,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.0453,0.189,81.5,1.4023,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.0586,0.2316,81.5,1.39925,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.0791,0.2768,81.5,1.3957,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.1042,0.3122,81.5,1.39325,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.1291,0.3469,81.5,1.3907,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.5341,0.3517,81.5,1.35845,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.6192,0.3165,81.5,1.35525,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.6773,0.2766,81.5,1.35225,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.714,0.2513,81.5,1.34982,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.7755,0.1982,81.5,1.3462,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.837,0.1429,81.5,1.34245,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.883,0.1031,81.5,1.34005,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.9398,0.0503,81.5,1.33675,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,298.2,0.9924,0,81.5,1.3332,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.0164,0,81.5,1.4135,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.0234,0.0501,81.5,1.4101,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.0308,0.0966,81.5,1.40675,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.0404,0.1425,81.5,1.40325,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.0508,0.1894,81.5,1.4004,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.0667,0.235,81.5,1.39675,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.0862,0.2756,81.5,1.3933,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.1091,0.3131,81.5,1.39075,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.142,0.3437,81.5,1.388,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.5406,0.3567,81.5,1.35515,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.6004,0.3231,81.5,1.35285,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.6606,0.276,81.5,1.35065,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.7081,0.2408,81.5,1.3485,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.767,0.1984,81.5,1.3457,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.8312,0.1475,81.5,1.34215,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.878,0.1084,81.5,1.33965,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.9357,0.0542,81.5,1.33635,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,303.2,0.9914,0,81.5,1.33345,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
