setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium acetate, mol/kg","MolaLity of bis(3-aminopropyl)amine, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
IScvo,313.15,2.5,0.5,101,1.3902,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,318.15,2,0,101,1.3753,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,318.15,2,1,101,1.3879,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,318.15,2.25,0,101,1.3791,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,318.15,2.25,0.75,101,1.3891,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,318.15,2.5,0,101,1.3828,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,318.15,2.5,0.5,101,1.3894,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,323.15,2,0,101,1.3744,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,323.15,2,1,101,1.3868,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,323.15,2.25,0,101,1.378,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,323.15,2.25,0.75,101,1.3878,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,323.15,2.5,0,101,1.3816,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,323.15,2.5,0.5,101,1.3882,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,328.15,2,0,101,1.3734,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,328.15,2,1,101,1.3857,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,328.15,2.25,0,101,1.3769,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,328.15,2.25,0.75,101,1.3864,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,328.15,2.5,0,101,1.3803,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,328.15,2.5,0.5,101,1.3869,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,333.15,2,0,101,1.3702,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,333.15,2,1,101,1.384,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,333.15,2.25,0,101,1.376,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,333.15,2.25,0.75,101,1.3849,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,333.15,2.5,0,101,1.3796,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,333.15,2.5,0.5,101,1.3857,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
