setid,Mole fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
gJHyD,0.081,333.15,101,1.4205,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.081,338.15,101,1.419,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.081,343.15,101,1.4175,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,283.15,101,1.4315,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,288.15,101,1.4305,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,293.15,101,1.4292,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,298.15,101,1.428,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,303.15,101,1.427,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,308.15,101,1.4255,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,313.15,101,1.424,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,318.15,101,1.4225,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,323.15,101,1.421,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,328.15,101,1.42,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,333.15,101,1.4188,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,338.15,101,1.4173,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.161,343.15,101,1.416,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,283.15,101,1.43,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,288.15,101,1.4288,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,293.15,101,1.4273,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,298.15,101,1.426,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,303.15,101,1.4245,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,308.15,101,1.423,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,313.15,101,1.4219,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,318.15,101,1.4205,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,323.15,101,1.419,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,328.15,101,1.4178,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,333.15,101,1.416,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,338.15,101,1.4145,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.315,343.15,101,1.4132,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,283.15,101,1.4265,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,288.15,101,1.425,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,293.15,101,1.4237,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,298.15,101,1.423,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,303.15,101,1.4208,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,308.15,101,1.4195,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,313.15,101,1.418,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,318.15,101,1.4168,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,323.15,101,1.415,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,328.15,101,1.4137,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,333.15,101,1.4125,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,338.15,101,1.4118,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.511,343.15,101,1.411,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,283.15,101,1.4225,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,288.15,101,1.4212,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,293.15,101,1.42,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,298.15,101,1.4185,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,303.15,101,1.4172,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,308.15,101,1.416,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,313.15,101,1.4143,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,318.15,101,1.413,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,323.15,101,1.4115,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,328.15,101,1.41,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,333.15,101,1.4085,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,338.15,101,1.4078,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.612,343.15,101,1.4065,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,283.15,101,1.4132,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,288.15,101,1.4125,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,293.15,101,1.411,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,298.15,101,1.4098,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,303.15,101,1.4085,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,308.15,101,1.4072,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,313.15,101,1.407,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,318.15,101,1.4065,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,323.15,101,1.4055,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,328.15,101,1.4045,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,333.15,101,1.404,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,338.15,101,1.4033,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
gJHyD,0.753,343.15,101,1.402,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
