setid,Weight fraction of 1-allyl-3-methylimidazolium bromide,Weight fraction of rubidium carbonate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ryKJK,0.0829,0.03,298.15,101,1.34912,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.083,0.06,298.15,101,1.35266,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0838,0,298.15,101,1.34594,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0983,0,298.15,101,1.34832,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0998,0.0599,298.15,101,1.3556,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1,0.03,298.15,101,1.35202,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1163,0,298.15,101,1.3514,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1165,0.06,298.15,101,1.35856,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1169,0.03,298.15,101,1.35497,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1324,0.06,298.15,101,1.36137,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.133,0,298.15,101,1.35442,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.133,0.0299,298.15,101,1.35773,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1498,0,298.15,101,1.35692,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1505,0.0301,298.15,101,1.36082,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1513,0.06,298.15,101,1.36483,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1665,0,298.15,101,1.35997,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1665,0.03,298.15,101,1.36369,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.1665,0.0601,298.15,101,1.36727,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
