setid,Mole fraction of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ivvdc,0,321.78,100,632.8,1.3862,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,321.909,100,632.8,1.3861,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.0499,321.78,100,632.8,1.39,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.0966,321.78,100,632.8,1.3929,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.1498,321.78,100,632.8,1.3955,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.197,321.78,100,632.8,1.3977,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.2458,321.78,100,632.8,1.3997,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.286,321.78,100,632.8,1.4011,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.3986,321.78,100,632.8,1.4045,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.5113,321.78,100,632.8,1.4072,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.5992,321.78,100,632.8,1.4089,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.7352,321.78,100,632.8,1.4112,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0.8487,321.78,100,632.8,1.4129,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,305.187,100,632.8,1.4196,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,306.983,100,632.8,1.4191,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,308.821,100,632.8,1.4186,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,310.296,100,632.8,1.4181,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,311.946,100,632.8,1.4177,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,313.581,100,632.8,1.4172,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,315.115,100,632.8,1.4168,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,316.746,100,632.8,1.4163,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,318.383,100,632.8,1.4158,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,320.004,100,632.8,1.4154,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,321.78,100,632.8,1.4148,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,1,321.857,100,632.8,1.4148,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
