setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
povKD,303.15,0.7998,101,1.51416,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,303.15,0.8913,101,1.5166,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,308.15,0.1,101,1.40424,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,308.15,0.1999,101,1.44678,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,308.15,0.3,101,1.4674,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,308.15,0.3998,101,1.4803,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,308.15,0.5002,101,1.49009,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,308.15,0.5997,101,1.49983,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,308.15,0.7005,101,1.50755,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,308.15,0.7998,101,1.51318,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,308.15,0.8913,101,1.51529,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,313.15,0.1,101,1.40272,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,313.15,0.1999,101,1.44448,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,313.15,0.3,101,1.46622,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,313.15,0.3998,101,1.47918,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,313.15,0.5002,101,1.48845,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,313.15,0.5997,101,1.49836,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,313.15,0.7005,101,1.50654,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,313.15,0.7998,101,1.51195,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,313.15,0.8913,101,1.51413,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
