setid,"MolaLity of L-valine, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xWQBd,0.3025,0.0909,298.15,101,1.3415,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.3211,0,298.15,101,1.3389,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.3385,0.267,298.15,101,1.3479,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.3431,0.3564,298.15,101,1.3509,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.3436,0.1797,298.15,101,1.3452,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.3557,0.0909,298.15,101,1.3425,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.3841,0,298.15,101,1.3401,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.387,0.1797,298.15,101,1.3459,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.387,0.267,298.15,101,1.3488,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.3928,0.0909,298.15,101,1.3431,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.3948,0.3564,298.15,101,1.3519,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.4316,0.0909,298.15,101,1.3439,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.4346,0.3564,298.15,101,1.3527,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.4376,0.267,298.15,101,1.3497,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.4378,0,298.15,101,1.341,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.4515,0.1797,298.15,101,1.3472,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
