setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CqFst,308.006,0.1,85,632.8,1.4195,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,308.503,0.7,85,632.8,1.4265,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,308.525,0.6,85,632.8,1.4256,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,308.602,0.5,85,632.8,1.4245,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,308.632,0.8,85,632.8,1.4274,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,309.132,0.3,85,632.8,1.422,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,309.273,0.898,85,632.8,1.428,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,309.326,0.2,85,632.8,1.4204,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,309.521,0.1,85,632.8,1.4189,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,309.557,0.399,85,632.8,1.423,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,310.16,0.5,85,632.8,1.424,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,310.339,0.8,85,632.8,1.4269,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,310.341,0.7,85,632.8,1.426,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,310.753,0.3,85,632.8,1.4214,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,310.81,0.6,85,632.8,1.4249,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,310.883,0.2,85,632.8,1.4199,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,311.042,0.1,85,632.8,1.4183,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,311.127,0.399,85,632.8,1.4225,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,311.279,0.898,85,632.8,1.4274,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,311.691,0.5,85,632.8,1.4235,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,312.289,0.3,85,632.8,1.4209,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,312.541,0.2,85,632.8,1.4193,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,312.578,0.1,85,632.8,1.4178,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,312.734,0.6,85,632.8,1.4243,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,313.026,0.399,85,632.8,1.4219,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,313.173,0.5,85,632.8,1.4231,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,313.856,0.3,85,632.8,1.4204,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,314.022,0.2,85,632.8,1.4188,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,314.061,0.1,85,632.8,1.4172,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,314.31,0.399,85,632.8,1.4214,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,314.637,0.6,85,632.8,1.4237,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,315.45,0.3,85,632.8,1.4198,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,315.628,0.2,85,632.8,1.4183,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,315.629,0.1,85,632.8,1.4166,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,316.319,0.6,85,632.8,1.4232,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
CqFst,316.323,0.399,85,632.8,1.4208,Zhang et al. (2015c),Refractive index,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
