setid,Mole fraction of methyltriphenylphosphonium bromide,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
LpQTF,0.13,313.15,100,1.5124,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.13,318.15,100,1.5107,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.13,323.15,100,1.509,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.17,293.15,100,1.5358,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.17,298.15,100,1.5342,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.17,303.15,100,1.5326,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.17,308.15,100,1.5309,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.17,313.15,100,1.5293,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.17,318.15,100,1.5276,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.17,323.15,100,1.526,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.2,293.15,100,1.5467,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.2,298.15,100,1.5451,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.2,303.15,100,1.5435,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.2,308.15,100,1.5418,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.2,313.15,100,1.5402,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.2,318.15,100,1.5386,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.2,323.15,100,1.5369,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.25,293.15,100,1.5603,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.25,298.15,100,1.5587,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.25,303.15,100,1.557,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.25,308.15,100,1.5554,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.25,313.15,100,1.5538,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.25,318.15,100,1.5521,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.25,323.15,100,1.5505,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.33,293.15,100,1.5725,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.33,298.15,100,1.5711,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.33,303.15,100,1.5698,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.33,308.15,100,1.5687,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.33,313.15,100,1.5677,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.33,318.15,100,1.5665,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
LpQTF,0.33,323.15,100,1.5649,Park and Lee (2023),Refractive index,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",,,,
