setid,"Temperature, K",Weight fraction of 1-methyl-3-octylimidazolium chloride,Weight fraction of rubidium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
WqQPx,298.15,0.0087,0.06,101,1.33962,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0173,0,101,1.33536,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0173,0.03,101,1.33809,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0175,0.06,101,1.34111,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.026,0,101,1.33687,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.026,0.03,101,1.33966,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.026,0.06,101,1.34261,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0347,0,101,1.33837,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0347,0.06,101,1.34416,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0348,0.03,101,1.34112,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0433,0,101,1.33977,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0434,0.03,101,1.34263,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0434,0.06,101,1.34549,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.052,0.03,101,1.34431,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0521,0,101,1.34125,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0521,0.06,101,1.34698,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0556,0.4395,101,1.39506,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0607,0,101,1.34269,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0607,0.03,101,1.34561,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0607,0.06,101,1.34844,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0694,0,101,1.34418,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0694,0.06,101,1.35002,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0696,0.03,101,1.34717,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.078,0,101,1.34559,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0781,0.03,101,1.34864,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0781,0.06,101,1.35139,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0867,0,101,1.34703,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0867,0.06,101,1.35289,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.0868,0.03,101,1.35005,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.1262,0.3811,101,1.40234,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.2049,0.3195,101,1.41048,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.3022,0.2467,101,1.41908,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.412,0.1697,101,1.42879,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.5387,0.0949,101,1.44021,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.6653,0.0415,101,1.45395,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,298.15,0.7756,0.0082,101,1.47134,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,308.15,0.0512,0.4556,101,1.3968,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,308.15,0.1149,0.4044,101,1.40362,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,308.15,0.1959,0.3326,101,1.41105,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,308.15,0.2943,0.2598,101,1.41929,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,308.15,0.421,0.1792,101,1.42863,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,308.15,0.5527,0.1007,101,1.43974,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,308.15,0.6537,0.0498,101,1.45116,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
WqQPx,308.15,0.7607,0.0108,101,1.46774,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,
