setid,"Temperature, K",Weight fraction of 1-methyl-3-octylimidazolium bromide,Weight fraction of rubidium sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
abjsi,298.2,0.8342,0.0022,100,1.47633,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0,0.359,100,1.36619,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.0577,0.309,100,1.37245,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.1234,0.262,100,1.38008,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.1925,0.233,100,1.38856,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.2728,0.184,100,1.39748,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.3664,0.124,100,1.40736,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.4545,0.094,100,1.41828,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.5564,0.049,100,1.43033,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.6553,0.02,100,1.4441,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.7495,0.0039,100,1.46017,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
abjsi,308.2,0.8348,0.0016,100,1.47758,Li et al. (2019e),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAzRcq,O=S(=O)([O-])[O-].[Rb+].[Rb+],rubidium sulfate,AADYJk,O,water,
