setid,Mole fraction of ethanol,Mole fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hPtyx,0.2244,0.3265,298.15,101,1.48997,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.2691,0.5313,298.15,101,1.45207,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.3032,0.3581,298.15,101,1.47485,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.3065,0.2919,298.15,101,1.48176,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.3436,0.1977,298.15,101,1.48705,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.3855,0.3435,298.15,101,1.4607,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.3996,0.3085,298.15,101,1.46417,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.4178,0.245,298.15,101,1.46858,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.4188,0.4225,298.15,101,1.43647,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.5023,0.3618,298.15,101,1.42682,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.5031,0.2778,298.15,101,1.44715,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.5638,0.1836,298.15,101,1.45208,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.6051,0.0999,298.15,101,1.45576,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.607,0.2006,298.15,101,1.43738,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.6105,0.2931,298.15,101,1.41089,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.6146,0.2801,298.15,101,1.41394,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.6273,0.2083,298.15,101,1.43047,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.6365,0.1529,298.15,101,1.44037,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.6528,0.0296,298.15,101,1.45733,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.6546,0.1484,298.15,101,1.43663,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.6557,0.0517,298.15,101,1.45352,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.7205,0.1562,298.15,101,1.41624,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.732,0.1128,298.15,101,1.42465,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.7887,0.0847,298.15,101,1.4152,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.8212,0.0594,298.15,101,1.41213,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.8572,0.0519,298.15,101,1.4022,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
hPtyx,0.903,0,298.15,101,1.40198,Gomez et al. (2006a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
