setid,"Temperature, K",Mole fraction of 1-propylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JPOch,293.15,0.8007,101,1.44014,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,0.8821,101,1.44265,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,293.15,1,101,1.44588,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0,101,1.32433,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.0279,101,1.3399,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.0576,101,1.35319,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.0965,101,1.36693,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.1457,101,1.38006,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.1949,101,1.3903,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.2548,101,1.40001,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.3209,101,1.40839,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.3998,101,1.41592,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.496,101,1.42315,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.5983,101,1.4289,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.6901,101,1.43321,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.8007,101,1.43738,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,0.8821,101,1.43997,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,303.15,1,101,1.44322,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0,101,1.32015,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.0279,101,1.3361,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.0576,101,1.34994,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.0965,101,1.36409,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.1457,101,1.37759,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.1949,101,1.38806,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.2548,101,1.39755,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.3209,101,1.40578,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.3998,101,1.41304,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.496,101,1.42027,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.5983,101,1.42609,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.6901,101,1.43034,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.8007,101,1.43461,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,0.8821,101,1.43737,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,313.15,1,101,1.44057,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0,101,1.3167,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.0279,101,1.33304,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.0576,101,1.34753,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.0965,101,1.36215,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.1457,101,1.37597,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.1949,101,1.38633,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.2548,101,1.39577,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.3209,101,1.40373,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.3998,101,1.41094,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.496,101,1.4177,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.5983,101,1.42341,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.6901,101,1.42772,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.8007,101,1.43193,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,0.8821,101,1.43464,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
JPOch,323.15,1,101,1.43792,Garcia-Mardones et al. (2014a),Refractive index,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,,
