setid,Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tqUAk,0.8991,303.15,100.7,1.42202,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,0.8991,308.15,100.7,1.42085,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,0.8991,313.15,100.7,1.41958,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,0.8991,318.15,100.7,1.41831,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,0.8991,323.15,100.7,1.41704,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,1,293.15,100.7,1.42441,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,1,298.15,100.7,1.42312,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,1,303.15,100.7,1.42171,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,1,308.15,100.7,1.42029,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,1,313.15,100.7,1.41888,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,1,318.15,100.7,1.4175,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
tqUAk,1,323.15,100.7,1.41601,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
