setid,"Temperature, K",Mole fraction of 3-butyl-1-methyl-1H-imidazolium L-alaninate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ZhZGW,308.15,0.2837,101,1.4533,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,308.15,0.3985,101,1.4723,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,308.15,0.5105,101,1.485,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,308.15,0.6035,101,1.493,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,308.15,0.7011,101,1.5,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,308.15,0.8152,101,1.5059,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,308.15,0.9139,101,1.5105,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,313.15,0.0986,101,1.3881,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,313.15,0.2015,101,1.4297,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,313.15,0.2837,101,1.4502,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,313.15,0.3985,101,1.4692,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,313.15,0.5105,101,1.4817,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,313.15,0.6035,101,1.4898,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,313.15,0.7011,101,1.497,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,313.15,0.8152,101,1.5034,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ZhZGW,313.15,0.9139,101,1.5082,Yu et al. (2011a),Refractive index,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
