setid,Weight fraction of ethanol,Weight fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
LjYyf,0.0951,0.8144,101,298.15,1.35629,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0971,0.5417,101,298.15,1.40286,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0989,0.3605,101,298.15,1.43546,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1009,0.7193,101,298.15,1.37205,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1101,0.0849,101,298.15,1.4943,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1128,0.1189,101,298.15,1.48603,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1221,0.1703,101,298.15,1.47422,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1351,0.2526,101,298.15,1.4562,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1537,0.0807,101,298.15,1.48523,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1673,0.3331,101,298.15,1.43027,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1698,0.1113,101,298.15,1.47651,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1759,0.1599,101,298.15,1.46674,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1824,0.5723,101,298.15,1.38725,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1848,0.4891,101,298.15,1.40081,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.186,0.7326,101,298.15,1.3608,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1933,0.2356,101,298.15,1.44983,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.1966,0.6427,101,298.15,1.37448,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.2207,0.0743,101,298.15,1.4738,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.234,0.1026,101,298.15,1.46616,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.2454,0.1464,101,298.15,1.4576,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.2673,0.2139,101,298.15,1.4412,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.2918,0.0676,101,298.15,1.46186,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.2928,0.6364,101,298.15,1.36455,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.2933,0.424,101,298.15,1.39733,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.2942,0.4941,101,298.15,1.38626,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.2997,0.5603,101,298.15,1.37568,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.3118,0.0922,101,298.15,1.4561,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.3249,0.131,101,298.15,1.44594,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.353,0.1889,101,298.15,1.4311,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.3922,0.547,101,298.15,1.36668,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.3958,0.4229,101,298.15,1.38428,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.3975,0.3615,101,298.15,1.39315,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.398,0.4816,101,298.15,1.3757,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.3985,0.0574,101,298.15,1.44538,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.4001,0.0804,101,298.15,1.44105,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.4312,0.1103,101,298.15,1.43133,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.451,0.1603,101,298.15,1.42019,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.4883,0.3582,101,298.15,1.38189,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.4958,0.4538,101,298.15,1.36781,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.4963,0.2015,101,298.15,1.40304,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.4973,0.3016,101,298.15,1.38861,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.498,0.4016,101,298.15,1.37475,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.5351,0.0444,101,298.15,1.42481,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.5406,0.0616,101,298.15,1.42138,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.5518,0.087,101,298.15,1.41513,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.5871,0.1206,101,298.15,1.40516,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.5944,0.2839,101,298.15,1.37861,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.5946,0.2432,101,298.15,1.38398,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.5971,0.3626,101,298.15,1.36786,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.5987,0.1605,101,298.15,1.39463,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.6949,0.122,101,298.15,1.38665,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.695,0.183,101,298.15,1.37881,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.6961,0.2735,101,298.15,1.3673,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.728,0.0365,101,298.15,1.3953,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.7421,0.05,101,298.15,1.3917,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.7632,0.0692,101,298.15,1.38602,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.7718,0.0217,101,298.15,1.39115,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.7949,0.123,101,298.15,1.37328,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.8013,0.159,101,298.15,1.36826,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.8754,0.0119,101,298.15,1.37656,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.9003,0.0598,101,298.15,1.36688,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
