setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tJbEr,303.15,0.0511,101,1.38899,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.074,101,1.40897,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.1027,101,1.41749,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.1965,101,1.43645,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.2957,101,1.44934,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.416,101,1.45817,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.5184,101,1.46656,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.5347,101,1.46709,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.6044,101,1.46754,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.6931,101,1.47098,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.7801,101,1.47001,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.8279,101,1.47226,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.8996,101,1.47758,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.0258,101,1.36732,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.0511,101,1.38799,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.074,101,1.4078,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.1027,101,1.4163,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.1965,101,1.43516,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.2957,101,1.448,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.416,101,1.45679,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.5184,101,1.46532,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.5347,101,1.46577,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.6044,101,1.4662,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.6931,101,1.46966,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.7801,101,1.46842,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.8279,101,1.47073,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,308.15,0.8996,101,1.47607,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.0258,101,1.36664,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.0511,101,1.38719,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.074,101,1.40673,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.1027,101,1.4151,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.1965,101,1.43386,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.2957,101,1.44669,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.416,101,1.45543,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.5184,101,1.46399,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.5347,101,1.46444,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.6044,101,1.46489,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.6931,101,1.46835,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.7801,101,1.46703,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.8279,101,1.46931,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,313.15,0.8996,101,1.47467,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.0258,101,1.36649,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.0511,101,1.38658,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.074,101,1.40601,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.1027,101,1.41389,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.1965,101,1.43253,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.2957,101,1.44535,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.416,101,1.45415,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.5184,101,1.46255,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.5347,101,1.46311,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.6044,101,1.46346,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.6931,101,1.46704,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.7801,101,1.46554,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.8279,101,1.46789,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,318.15,0.8996,101,1.47331,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.0258,101,1.36665,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.0511,101,1.38756,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.074,101,1.40547,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.1027,101,1.41332,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.1965,101,1.43117,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.2957,101,1.44401,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.416,101,1.45266,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.5184,101,1.46151,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.5347,101,1.4618,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.6044,101,1.46206,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.6931,101,1.46574,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.7801,101,1.46388,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.8279,101,1.46631,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,323.15,0.8996,101,1.47199,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
