setid,Weight fraction of propan-2-ol,Weight fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
KTndf,0.3152,0.2716,101,298.15,1.3858,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.3236,0.3424,101,298.15,1.3809,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.3265,0.202,101,298.15,1.39,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.3303,0.4678,101,298.15,1.3726,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.3376,0.5893,101,298.15,1.3643,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.3542,0.2071,101,298.15,1.3888,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.3759,0.2674,101,298.15,1.3845,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.3876,0.0592,101,298.15,1.3974,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.3969,0.1302,101,298.15,1.3924,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.3982,0.035,101,298.15,1.3983,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.4105,0.2126,101,298.15,1.3869,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.4318,0.2727,101,298.15,1.3831,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.4423,0.1492,101,298.15,1.3898,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.4588,0.2598,101,298.15,1.3826,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.5058,0.0288,101,298.15,1.3941,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.5144,0.0249,101,298.15,1.3888,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.5577,0.1042,101,298.15,1.3883,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.5826,0.3418,101,298.15,1.3744,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.5974,0.0689,101,298.15,1.3884,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.6124,0.0472,101,298.15,1.389,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.6275,0.2504,101,298.15,1.3773,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.6863,0.2655,101,298.15,1.3751,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.6909,0.1747,101,298.15,1.3796,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.697,0.1675,101,298.15,1.3793,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.7588,0.0936,101,298.15,1.381,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.7641,0.1822,101,298.15,1.3768,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.797,0.0479,101,298.15,1.3816,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.8316,0.11,101,298.15,1.3778,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.8831,0.0549,101,298.15,1.3781,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.9079,0.0283,101,298.15,1.378,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
