setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium octyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Lwfco,313.15,0,100,1.3305,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,313.15,0.1002,100,1.4215,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,313.15,0.2002,100,1.4415,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,313.15,0.3004,100,1.4525,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,313.15,0.4004,100,1.457,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,313.15,0.501,100,1.4595,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,313.15,0.5998,100,1.462,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,313.15,0.6988,100,1.4635,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,313.15,0.8,100,1.465,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,313.15,0.9018,100,1.466,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0,100,1.329,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0.1002,100,1.421,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0.2002,100,1.4405,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0.3004,100,1.45,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0.4004,100,1.4555,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0.501,100,1.457,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0.5998,100,1.46,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0.6988,100,1.461,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0.8,100,1.462,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,323.15,0.9018,100,1.4635,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0,100,1.3275,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0.1002,100,1.419,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0.2002,100,1.44,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0.3004,100,1.4495,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0.4004,100,1.4535,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0.501,100,1.4545,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0.5998,100,1.4575,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0.6988,100,1.4585,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0.8,100,1.46,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,333.15,0.9018,100,1.461,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0,100,1.326,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0.1002,100,1.419,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0.2002,100,1.4395,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0.3004,100,1.4465,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0.4004,100,1.452,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0.501,100,1.453,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0.5998,100,1.4565,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0.6988,100,1.457,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0.8,100,1.458,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,343.15,0.9018,100,1.459,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
