setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
FhqAE,303.15,0.1514,101.3,1.4124,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.2034,101.3,1.4131,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.2917,101.3,1.4142,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.3883,101.3,1.4153,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.4926,101.3,1.4164,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.5974,101.3,1.4172,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.6927,101.3,1.418,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.7631,101.3,1.4186,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.8253,101.3,1.4192,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.8945,101.3,1.42,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.9518,101.3,1.4207,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,1,101.3,1.4214,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0,101.3,1.4075,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.0479,101.3,1.4085,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.0964,101.3,1.4095,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.1514,101.3,1.4104,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.2034,101.3,1.4112,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.2917,101.3,1.4124,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.3883,101.3,1.4136,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.4926,101.3,1.4147,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.5974,101.3,1.4156,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.6927,101.3,1.4165,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.7631,101.3,1.4171,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.8253,101.3,1.4178,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.8945,101.3,1.4186,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,0.9518,101.3,1.4194,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,308.15,1,101.3,1.42,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0,101.3,1.4052,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.0479,101.3,1.4064,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.0964,101.3,1.4075,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.1514,101.3,1.4084,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.2034,101.3,1.4093,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.2917,101.3,1.4106,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.3883,101.3,1.4119,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.4926,101.3,1.413,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.5974,101.3,1.414,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.6927,101.3,1.4149,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.7631,101.3,1.4156,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.8253,101.3,1.4163,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.8945,101.3,1.4172,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,0.9518,101.3,1.418,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,313.15,1,101.3,1.4185,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0,101.3,1.4031,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.0479,101.3,1.4044,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.0964,101.3,1.4055,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.1514,101.3,1.4065,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.2034,101.3,1.4074,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.2917,101.3,1.4088,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.3883,101.3,1.4102,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.4926,101.3,1.4114,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.5974,101.3,1.4124,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.6927,101.3,1.4134,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.7631,101.3,1.4141,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.8253,101.3,1.4149,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.8945,101.3,1.4158,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,0.9518,101.3,1.4165,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,318.15,1,101.3,1.417,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
