setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium iodide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
IwSbS,298.15,0.381,101.22,1.4991,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,0.51,101.22,1.5221,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,0.574,101.22,1.5322,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,0.623,101.22,1.5393,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,0.802,101.22,1.5618,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,0.85,101.22,1.567,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,1,101.22,1.581,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0,101.22,1.3932,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0.108,101.22,1.4294,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0.171,101.22,1.4472,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0.311,101.22,1.4815,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0.381,101.22,1.4958,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0.51,101.22,1.5189,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0.574,101.22,1.5289,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0.623,101.22,1.5361,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0.802,101.22,1.5587,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,0.85,101.22,1.5639,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,308.15,1,101.22,1.5781,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
