setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GOIhe,278.15,1,100,1.50484,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0,100,1.36343,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0.1,100,1.39952,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0.2,100,1.42397,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0.3,100,1.44312,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0.4,100,1.45756,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0.4999,100,1.46945,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0.5998,100,1.47907,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0.7001,100,1.48725,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0.799,100,1.49298,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,0.9,100,1.49867,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,288.15,1,100,1.50285,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0,100,1.35957,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0.1,100,1.39609,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0.2,100,1.42075,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0.3,100,1.44003,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0.4,100,1.45473,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0.4999,100,1.4665,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0.5998,100,1.47631,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0.7001,100,1.4844,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0.799,100,1.49037,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,0.9,100,1.49606,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,298.15,1,100,1.50069,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0,100,1.35534,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0.1,100,1.3926,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0.2,100,1.41801,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0.3,100,1.43681,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0.4,100,1.45202,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0.4999,100,1.46368,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0.5998,100,1.47348,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0.7001,100,1.48164,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0.799,100,1.48703,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,0.9,100,1.49327,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,308.15,1,100,1.49803,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0,100,1.35142,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0.1,100,1.3893,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0.2,100,1.41451,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0.3,100,1.43396,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0.4,100,1.4488,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0.4999,100,1.46086,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0.5998,100,1.47064,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0.7001,100,1.47884,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0.799,100,1.48484,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,0.9,100,1.49082,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,318.15,1,100,1.49527,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0,100,1.34704,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0.1,100,1.38551,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0.2,100,1.41144,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0.3,100,1.43089,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0.4,100,1.44639,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0.4999,100,1.45795,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0.5998,100,1.46777,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0.7001,100,1.47608,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0.799,100,1.48212,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,0.9,100,1.48812,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,328.15,1,100,1.49266,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0,100,1.34252,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0.1,100,1.38222,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0.2,100,1.4083,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0.3,100,1.4278,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0.4,100,1.44299,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0.4999,100,1.45499,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0.5998,100,1.46504,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0.7001,100,1.47341,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0.799,100,1.47937,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,0.9,100,1.48547,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,338.15,1,100,1.48995,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
