setid,"Temperature, K",Mole fraction of methyltriphenylphosphonium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hbxEL,328.15,0.13,101.3,1.49519,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,328.15,0.14,101.3,1.50071,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,338.15,0.11,101.3,1.48802,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,338.15,0.13,101.3,1.49063,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,338.15,0.14,101.3,1.49733,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,348.15,0.11,101.3,1.48405,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,348.15,0.13,101.3,1.48631,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,348.15,0.14,101.3,1.49343,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,358.15,0.11,101.3,1.47988,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,358.15,0.13,101.3,1.48215,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,358.15,0.14,101.3,1.49027,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
