setid,"Temperature, K",Volume fraction of 1-butylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
gAWhj,303.15,0.8142,101,1.42561,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.8658,101,1.43105,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.9108,101,1.43576,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.9685,101,1.4416,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,1,101,1.44454,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0,101,1.32015,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.0737,101,1.33144,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.1028,101,1.33587,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.1991,101,1.34941,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.3286,101,1.36646,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.4096,101,1.3765,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.5189,101,1.38958,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.6498,101,1.40471,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.745,101,1.41542,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.8132,101,1.42273,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.865,101,1.42832,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.9103,101,1.433,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,0.9683,101,1.43897,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,313.15,1,101,1.4419,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0,101,1.3167,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.0732,101,1.32837,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.1022,101,1.33278,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.1981,101,1.3469,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.3271,101,1.3641,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.408,101,1.37436,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.5172,101,1.38733,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.6482,101,1.40238,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.7438,101,1.41283,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.8122,101,1.42002,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.8642,101,1.42546,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.9097,101,1.43029,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,0.9681,101,1.43614,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,323.15,1,101,1.43924,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
