setid,"Temperature, K","Mole fraction of N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JzSnp,288.15,0.8,101.3,1.4107,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,288.15,1,101.3,1.4076,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,293.15,0,101.3,1.422,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,293.15,0.2,101.3,1.4189,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,293.15,0.4,101.3,1.4157,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,293.15,0.6,101.3,1.4126,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,293.15,0.8,101.3,1.4094,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,293.15,1,101.3,1.4062,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,298.15,0,101.3,1.4206,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,298.15,0.2,101.3,1.4175,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,298.15,0.4,101.3,1.4143,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,298.15,0.6,101.3,1.4112,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,298.15,0.8,101.3,1.4081,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,298.15,1,101.3,1.4049,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,303.15,0,101.3,1.4193,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,303.15,0.2,101.3,1.4162,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,303.15,0.4,101.3,1.413,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,303.15,0.6,101.3,1.4099,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,303.15,0.8,101.3,1.4068,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,303.15,1,101.3,1.4036,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,308.15,0,101.3,1.4179,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,308.15,0.2,101.3,1.4148,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,308.15,0.4,101.3,1.4116,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,308.15,0.6,101.3,1.4085,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,308.15,0.8,101.3,1.4054,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,308.15,1,101.3,1.4022,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,313.15,0,101.3,1.4166,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,313.15,0.2,101.3,1.4134,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,313.15,0.4,101.3,1.4103,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,313.15,0.6,101.3,1.4072,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,313.15,0.8,101.3,1.404,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,313.15,1,101.3,1.4009,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,318.15,0,101.3,1.4152,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,318.15,0.2,101.3,1.4121,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,318.15,0.4,101.3,1.4089,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,318.15,0.6,101.3,1.4059,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,318.15,0.8,101.3,1.4027,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,318.15,1,101.3,1.3996,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,323.15,0,101.3,1.4139,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,323.15,0.2,101.3,1.4108,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,323.15,0.4,101.3,1.4076,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,323.15,0.6,101.3,1.4045,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,323.15,0.8,101.3,1.4014,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,323.15,1,101.3,1.3983,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,328.15,0,101.3,1.4125,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
