setid,Weight fraction of tetrabutylammonium chloride,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GTKnv,0.3161,333.15,101.3,1.4393,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3838,293.15,101.3,1.4571,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3838,298.15,101.3,1.4551,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3838,303.15,101.3,1.4536,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3838,308.15,101.3,1.4519,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3838,313.15,101.3,1.4502,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3838,318.15,101.3,1.4486,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3838,323.15,101.3,1.4469,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3838,328.15,101.3,1.4452,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
GTKnv,0.3838,333.15,101.3,1.4439,Nowosielski et al. (2023),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,,
