setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
BwCRt,303.15,0.2928,101.3,1.43067,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0.3902,101.3,1.44158,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0.496,101.3,1.45108,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0.5903,101.3,1.458,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0.6902,101.3,1.46409,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0.7978,101.3,1.46948,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,0.9531,101.3,1.47576,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,303.15,1,101.3,1.47704,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0,101.3,1.37093,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.0482,101.3,1.38495,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.0965,101.3,1.39643,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.1938,101.3,1.41492,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.2928,101.3,1.42902,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.3902,101.3,1.44001,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.496,101.3,1.44958,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.5903,101.3,1.45655,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.6902,101.3,1.46268,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.7978,101.3,1.4681,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,0.9531,101.3,1.47442,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,308.15,1,101.3,1.47577,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0,101.3,1.3687,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.0482,101.3,1.38288,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.0965,101.3,1.3945,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.1938,101.3,1.41317,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.2928,101.3,1.4274,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.3902,101.3,1.43845,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.496,101.3,1.44808,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.5903,101.3,1.4551,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.6902,101.3,1.46125,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.7978,101.3,1.46674,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,0.9531,101.3,1.47306,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
BwCRt,313.15,1,101.3,1.47443,Singh et al. (2013),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
