setid,Mole fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zBlrU,0.201,333.15,101.3,1.43159,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.201,338.15,101.3,1.43016,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.201,343.15,101.3,1.42874,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,298.15,101.3,1.44005,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,303.15,101.3,1.43866,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,308.15,101.3,1.43719,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,313.15,101.3,1.4355,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,318.15,101.3,1.4346,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,323.15,101.3,1.43373,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,328.15,101.3,1.4324,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,333.15,101.3,1.43102,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,338.15,101.3,1.42965,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
zBlrU,0.306,343.15,101.3,1.42828,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
