setid,"MolaLity of 1-methyl-3-tetradecylimidazolium bromide, mol/kg","Solvent: MolaLity of tetraethylammonium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jGUSR,0.0002632,0.002,298.15,101,1.33258,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0.002,308.15,101,1.33133,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0.002,318.15,101,1.32983,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0.005,298.15,101,1.33268,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0.005,308.15,101,1.33143,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.0002632,0.005,318.15,101,1.32992,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0,298.15,101,1.33254,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0,308.15,101,1.33132,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0,318.15,101,1.32982,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0.001,298.15,101,1.33257,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0.001,308.15,101,1.33133,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0.001,318.15,101,1.32983,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0.002,298.15,101,1.33259,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0.002,308.15,101,1.33134,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0.002,318.15,101,1.32984,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0.005,298.15,101,1.3327,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0.005,308.15,101,1.33145,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000526,0.005,318.15,101,1.32994,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0,298.15,101,1.33256,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0,308.15,101,1.33133,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0,318.15,101,1.32983,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0.001,298.15,101,1.3326,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0.001,308.15,101,1.33135,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0.001,318.15,101,1.32985,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0.002,298.15,101,1.33262,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0.002,308.15,101,1.33137,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0.002,318.15,101,1.32987,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0.005,298.15,101,1.33272,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0.005,308.15,101,1.33147,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.000789,0.005,318.15,101,1.32996,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0,298.15,101,1.33258,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0,308.15,101,1.33135,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0,318.15,101,1.32985,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0.001,298.15,101,1.33262,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0.001,308.15,101,1.33137,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0.001,318.15,101,1.32987,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0.002,298.15,101,1.33264,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0.002,308.15,101,1.33139,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0.002,318.15,101,1.32989,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0.005,298.15,101,1.33274,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0.005,308.15,101,1.33149,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001053,0.005,318.15,101,1.32998,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0,298.15,101,1.3326,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0,308.15,101,1.33137,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0,318.15,101,1.32987,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0.001,298.15,101,1.33265,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0.001,308.15,101,1.3314,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0.001,318.15,101,1.3299,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0.002,298.15,101,1.33267,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0.002,308.15,101,1.33142,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0.002,318.15,101,1.32992,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0.005,298.15,101,1.33276,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0.005,308.15,101,1.33152,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001316,0.005,318.15,101,1.33,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0,298.15,101,1.33262,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0,308.15,101,1.33139,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0,318.15,101,1.32989,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0.001,298.15,101,1.33268,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0.001,308.15,101,1.33143,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0.001,318.15,101,1.32993,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0.002,298.15,101,1.3327,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0.002,308.15,101,1.33145,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0.002,318.15,101,1.32995,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0.005,298.15,101,1.33277,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0.005,308.15,101,1.33154,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001579,0.005,318.15,101,1.33002,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
jGUSR,0.001842,0,298.15,101,1.33264,Kumar et al. (2020b),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AAoVfw,CC[N+](CC)(CC)CC.[Br-],tetraethylammonium bromide,AADYJk,O,water,
