setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
KBniR,303.15,1,101,1.38433,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0,101,1.46319,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0.1007,101,1.44052,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0.1989,101,1.42485,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0.2995,101,1.41354,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0.4026,101,1.40536,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0.5001,101,1.39948,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0.5999,101,1.39467,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0.7039,101,1.39061,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0.8003,101,1.38756,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,0.8993,101,1.385,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,308.15,1,101,1.38298,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0,101,1.46111,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0.1007,101,1.43865,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0.1989,101,1.42322,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0.2995,101,1.41197,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0.4026,101,1.40387,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0.5001,101,1.39808,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0.5999,101,1.3933,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0.7039,101,1.38924,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0.8003,101,1.3862,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,0.8993,101,1.38363,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,313.15,1,101,1.38162,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0,101,1.45901,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0.1007,101,1.43679,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0.1989,101,1.42161,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0.2995,101,1.41042,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0.4026,101,1.40241,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0.5001,101,1.39671,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0.5999,101,1.39197,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0.7039,101,1.38792,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0.8003,101,1.38489,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,0.8993,101,1.38231,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,318.15,1,101,1.38032,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0,101,1.45702,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0.1007,101,1.43499,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0.1989,101,1.42005,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0.2995,101,1.4089,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0.4026,101,1.40095,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0.5001,101,1.39534,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0.5999,101,1.39063,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0.7039,101,1.38657,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0.8003,101,1.38355,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,0.8993,101,1.38095,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,323.15,1,101,1.37897,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0,101,1.4549,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0.1007,101,1.4331,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0.1989,101,1.41841,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0.2995,101,1.40733,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0.4026,101,1.39946,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0.5001,101,1.39395,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0.5999,101,1.38927,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0.7039,101,1.38522,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0.8003,101,1.38221,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,0.8993,101,1.37961,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
KBniR,328.15,1,101,1.37764,Akbar et al. (2016),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,
