setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
PfZjV,0.0963,0.0527,298.15,101.3,1.3369,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.0963,0.1031,298.15,101.3,1.3377,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.0963,0.1477,298.15,101.3,1.3383,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.0963,0.1946,298.15,101.3,1.339,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.0963,0.2614,298.15,101.3,1.3399,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.0963,0.3006,298.15,101.3,1.3405,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.0963,0.3506,298.15,101.3,1.3412,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.0963,0.4118,298.15,101.3,1.342,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.0963,0.4438,298.15,101.3,1.3426,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0,298.15,101.3,1.339,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0.042,298.15,101.3,1.3396,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0.111,298.15,101.3,1.3404,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0.1426,298.15,101.3,1.3409,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0.1924,298.15,101.3,1.3416,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0.263,298.15,101.3,1.3425,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0.2844,298.15,101.3,1.3429,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0.3457,298.15,101.3,1.3438,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0.4019,298.15,101.3,1.3445,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.1962,0.4359,298.15,101.3,1.345,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0,298.15,101.3,1.343,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0.0497,298.15,101.3,1.344,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0.1007,298.15,101.3,1.3446,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0.1419,298.15,101.3,1.3452,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0.2014,298.15,101.3,1.346,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0.2532,298.15,101.3,1.3469,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0.2949,298.15,101.3,1.3474,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0.3443,298.15,101.3,1.3481,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0.4078,298.15,101.3,1.349,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.2995,0.4401,298.15,101.3,1.3495,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0,298.15,101.3,1.3433,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0.0476,298.15,101.3,1.345,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0.1007,298.15,101.3,1.3457,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0.1485,298.15,101.3,1.3463,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0.1896,298.15,101.3,1.3469,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0.2512,298.15,101.3,1.3477,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0.2905,298.15,101.3,1.3482,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0.3556,298.15,101.3,1.3492,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0.4062,298.15,101.3,1.3498,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
PfZjV,0.3961,0.4378,298.15,101.3,1.3503,Shekaari and Jebali (2010c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
