setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OVjON,288.15,1,81.5,1.54089,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0,81.5,1.37521,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0.1089,81.5,1.41617,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0.198,81.5,1.4406,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0.2992,81.5,1.46327,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0.3989,81.5,1.48268,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0.4992,81.5,1.49625,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0.6012,81.5,1.50852,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0.6982,81.5,1.51547,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0.7957,81.5,1.52372,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,0.9013,81.5,1.53117,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,298.15,1,81.5,1.53744,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0,81.5,1.37098,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0.1089,81.5,1.41282,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0.198,81.5,1.43798,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0.2992,81.5,1.46157,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0.3989,81.5,1.48056,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0.4992,81.5,1.49437,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0.6012,81.5,1.50616,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0.6982,81.5,1.51345,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0.7957,81.5,1.52062,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,0.9013,81.5,1.52723,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,308.15,1,81.5,1.53433,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0,81.5,1.36598,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0.1089,81.5,1.41042,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0.198,81.5,1.43418,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0.2992,81.5,1.45947,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0.3989,81.5,1.47836,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0.4992,81.5,1.49267,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0.6012,81.5,1.50386,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0.6982,81.5,1.51175,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0.7957,81.5,1.51682,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,0.9013,81.5,1.52323,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,318.15,1,81.5,1.53153,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0,81.5,1.36198,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0.1089,81.5,1.40514,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0.198,81.5,1.43112,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0.2992,81.5,1.45756,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0.3989,81.5,1.47616,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0.4992,81.5,1.49116,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0.6012,81.5,1.5016,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0.6982,81.5,1.50995,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0.7957,81.5,1.51362,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,0.9013,81.5,1.5196,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,328.15,1,81.5,1.52798,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0,81.5,1.35723,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0.1089,81.5,1.402,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0.198,81.5,1.42794,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0.2992,81.5,1.45573,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0.3989,81.5,1.47451,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0.4992,81.5,1.48923,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0.6012,81.5,1.5002,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0.6982,81.5,1.50795,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0.7957,81.5,1.51066,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,0.9013,81.5,1.51586,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
OVjON,338.15,1,81.5,1.52523,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AALcwx,CC(C)O,propan-2-ol,,,,
