setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium iodide, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
fsVDi,308.15,0.1782,101,1.3381,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.216,101,1.3397,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.3257,101,1.3435,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.4065,101,1.3467,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.5184,101,1.3503,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.6452,101,1.3548,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.7509,101,1.358,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,0.8786,101,1.362,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,1.1538,101,1.3701,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,1.8374,101,1.3876,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,308.15,2.5889,101,1.4035,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.0133,101,1.3305,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.0293,101,1.331,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.0442,101,1.3316,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.0505,101,1.3317,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.0786,101,1.3328,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.0995,101,1.3336,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.1307,101,1.3347,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.1782,101,1.3364,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.216,101,1.338,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.3257,101,1.3418,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.4065,101,1.3447,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.5184,101,1.3487,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.6452,101,1.3529,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.7509,101,1.3561,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,0.8786,101,1.36,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,1.1538,101,1.368,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,1.8374,101,1.3853,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,318.15,2.5889,101,1.4012,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.0133,101,1.3285,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.0293,101,1.3289,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.0442,101,1.3293,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.0505,101,1.3298,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.0786,101,1.331,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.0995,101,1.3315,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.1307,101,1.3329,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.1782,101,1.3347,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.216,101,1.3359,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.3257,101,1.3404,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.4065,101,1.3433,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.5184,101,1.3464,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.6452,101,1.3507,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.7509,101,1.3541,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,0.8786,101,1.3578,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,1.1538,101,1.3657,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,1.8374,101,1.3831,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
fsVDi,328.15,2.5889,101,1.3986,Shekaari and Mousavi (2009a),Refractive index,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
