setid,"Temperature, K",Mole fraction of butan-1-ol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
pFAEe,313.15,0.1898,101,1.48478,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.299,101,1.47876,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.4012,101,1.4728,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.4989,101,1.46568,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.5996,101,1.4566,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.6947,101,1.44628,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.7995,101,1.43205,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.8965,101,1.41557,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,0.9464,101,1.40464,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,313.15,1,101,1.39115,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0,101,1.48821,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.0464,101,1.48612,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.0945,101,1.48426,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.1898,101,1.48014,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.299,101,1.47416,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.4012,101,1.46814,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.4989,101,1.46117,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.5996,101,1.45174,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.6947,101,1.44129,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.7995,101,1.42668,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.8965,101,1.40973,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,0.9464,101,1.39877,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
pFAEe,328.15,1,101,1.38481,Gonzalez et al. (2013b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
