setid,Mole fraction of propan-1-ol,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ipoKo,0.0981,0.2695,101,298.15,1.46965,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1023,0.8549,101,298.15,1.38842,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1139,0.8226,101,298.15,1.39969,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1198,0.8735,101,298.15,1.36371,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.128,0.6147,101,298.15,1.4456,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1286,0.8573,101,298.15,1.37051,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1383,0.7759,101,298.15,1.4061,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1467,0.8276,101,298.15,1.37995,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.167,0.7932,101,298.15,1.38901,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1695,0.708,101,298.15,1.42032,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1845,0.7571,101,298.15,1.39839,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1909,0.7961,101,298.15,1.37393,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.1971,0.1233,101,298.15,1.46844,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2001,0.4034,101,298.15,1.45593,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2061,0.2372,101,298.15,1.46404,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2082,0.768,101,298.15,1.38151,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2141,0.7076,101,298.15,1.40625,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2397,0.724,101,298.15,1.38906,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2412,0.5349,101,298.15,1.43789,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2472,0.7471,101,298.15,1.37225,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2588,0.6318,101,298.15,1.41545,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2591,0.7289,101,298.15,1.37668,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2669,0.6805,101,298.15,1.39664,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2888,0.6898,101,298.15,1.38288,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2998,0.3531,101,298.15,1.44926,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.2999,0.6304,101,298.15,1.40315,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.304,0.208,101,298.15,1.45823,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.3161,0.6512,101,298.15,1.38884,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.3408,0.6485,101,298.15,1.37895,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.3494,0.5546,101,298.15,1.41067,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.3498,0.4584,101,298.15,1.43022,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.3557,0.5981,101,298.15,1.39485,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.3963,0.5436,101,298.15,1.39982,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.3994,0.1795,101,298.15,1.45178,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.4188,0.5534,101,298.15,1.38834,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.45,0.4688,101,298.15,1.4058,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.4649,0.3772,101,298.15,1.42206,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.4746,0.5095,101,298.15,1.38445,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.4954,0.2544,101,298.15,1.43456,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.5003,0.1493,101,298.15,1.4441,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.5062,0.4446,101,298.15,1.39642,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.5658,0.403,101,298.15,1.39098,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.5725,0.3013,101,298.15,1.41456,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.596,0.2037,101,298.15,1.42611,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.6001,0.1195,101,298.15,1.43535,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.6559,0.2933,101,298.15,1.39678,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.6642,0.2367,101,298.15,1.40804,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.6982,0.1522,101,298.15,1.41674,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.7013,0.0893,101,298.15,1.42523,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.7206,0.2516,101,298.15,1.39049,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.801,0.0595,101,298.15,1.41352,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.8022,0.0997,101,298.15,1.40633,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.8287,0.159,101,298.15,1.38633,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.8979,0.0515,101,298.15,1.39585,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.9011,0.0296,101,298.15,1.39981,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
