setid,"Temperature, K",Mole fraction of N-methyldiethanolamine,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
kcGXT,313.15,0.8,81.5,1.47145,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,313.15,1,81.5,1.46204,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,323.15,0,81.5,1.49388,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,323.15,0.2,81.5,1.48828,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,323.15,0.4,81.5,1.48267,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,323.15,0.6,81.5,1.47821,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,323.15,0.8,81.5,1.46813,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,323.15,1,81.5,1.45837,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,333.15,0,81.5,1.49067,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,333.15,0.2,81.5,1.48514,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,333.15,0.4,81.5,1.47962,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,333.15,0.6,81.5,1.47494,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,333.15,0.8,81.5,1.46486,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,333.15,1,81.5,1.45477,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,343.15,0,81.5,1.48811,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,343.15,0.2,81.5,1.48245,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,343.15,0.4,81.5,1.47679,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,343.15,0.6,81.5,1.47191,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,343.15,0.8,81.5,1.46177,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,343.15,1,81.5,1.45103,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,353.15,0,81.5,1.48513,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,353.15,0.2,81.5,1.47947,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,353.15,0.4,81.5,1.47381,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,353.15,0.6,81.5,1.46872,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,353.15,0.8,81.5,1.45857,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,353.15,1,81.5,1.44748,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
