setid,"Temperature, K",Mole ratio to solvent: 3-amino-1-propanol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Ltqap,318.15,4,101.3,1.4656,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,318.15,6,101.3,1.4625,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,318.15,8,101.3,1.4607,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,323.15,4,101.3,1.4638,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,323.15,6,101.3,1.4608,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,323.15,8,101.3,1.4592,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,328.15,4,101.3,1.4619,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,328.15,6,101.3,1.4592,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,328.15,8,101.3,1.4575,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,333.15,4,101.3,1.4599,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,333.15,6,101.3,1.457,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,333.15,8,101.3,1.4555,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
