setid,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TGaXD,325.205,109,632.8,1.3699,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.232,109,632.8,1.3696,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.246,109,632.8,1.3693,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.261,109,632.8,1.3692,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.271,109,632.8,1.369,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.288,109,632.8,1.3687,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.302,109,632.8,1.3685,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.31,109,632.8,1.3682,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.316,109,632.8,1.368,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.322,109,632.8,1.3678,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.326,109,632.8,1.3676,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.333,109,632.8,1.3674,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
