setid,"Temperature, K",Mole fraction of toluene,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
awKug,298.15,0,100,1.4258,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,298.15,0.0942,100,1.428,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,298.15,0.1943,100,1.4308,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,298.15,0.29,100,1.434,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,298.15,0.3938,100,1.4383,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,298.15,0.493,100,1.4432,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,298.15,0.5961,100,1.4492,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,298.15,0.6986,100,1.4565,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,298.15,0.7993,100,1.4655,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,298.15,1,100,1.4934,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,0,100,1.4243,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,0.0942,100,1.4266,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,0.1943,100,1.4295,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,0.29,100,1.4327,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,0.3938,100,1.437,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,0.493,100,1.4418,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,0.5961,100,1.4477,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,0.6986,100,1.4549,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,0.7993,100,1.4637,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,303.15,1,100,1.4907,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,0,100,1.423,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,0.0942,100,1.4251,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,0.1943,100,1.4279,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,0.29,100,1.4301,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,0.3938,100,1.4351,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,0.493,100,1.4398,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,0.5961,100,1.4458,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,0.6986,100,1.4529,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,0.7993,100,1.4616,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,308.15,1,100,1.4878,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,0,100,1.4216,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,0.0942,100,1.4238,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,0.1943,100,1.4266,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,0.29,100,1.4297,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,0.3938,100,1.4337,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,0.493,100,1.4383,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,0.5961,100,1.4442,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,0.6986,100,1.4511,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,0.7993,100,1.4596,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,313.15,1,100,1.4851,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
