setid,Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cJABs,0.4134,308.15,100.7,1.41556,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.4134,313.15,100.7,1.41402,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.4134,318.15,100.7,1.41248,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.4134,323.15,100.7,1.41094,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.5222,293.15,100.7,1.41962,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.5222,298.15,100.7,1.41828,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.5222,303.15,100.7,1.41694,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.5222,308.15,100.7,1.41536,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.5222,313.15,100.7,1.41378,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.5222,318.15,100.7,1.4122,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.5222,323.15,100.7,1.41062,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6239,293.15,100.7,1.41895,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6239,298.15,100.7,1.41755,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6239,303.15,100.7,1.41615,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6239,308.15,100.7,1.41475,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6239,313.15,100.7,1.41335,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6239,318.15,100.7,1.41195,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6239,323.15,100.7,1.41055,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6951,293.15,100.7,1.41874,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6951,298.15,100.7,1.41759,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6951,303.15,100.7,1.41644,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6951,308.15,100.7,1.41509,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6951,313.15,100.7,1.41374,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6951,318.15,100.7,1.41239,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.6951,323.15,100.7,1.41104,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.7978,293.15,100.7,1.41868,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.7978,298.15,100.7,1.41752,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.7978,303.15,100.7,1.41636,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.7978,308.15,100.7,1.41512,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.7978,313.15,100.7,1.41388,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.7978,318.15,100.7,1.41264,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.7978,323.15,100.7,1.4114,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.8953,293.15,100.7,1.41858,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.8953,298.15,100.7,1.41756,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.8953,303.15,100.7,1.41654,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.8953,308.15,100.7,1.41552,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.8953,313.15,100.7,1.4145,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.8953,318.15,100.7,1.41348,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.8953,323.15,100.7,1.41246,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,1,293.15,100.7,1.41958,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,1,298.15,100.7,1.41832,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,1,303.15,100.7,1.41692,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,1,308.15,100.7,1.41564,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,1,313.15,100.7,1.41422,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,1,318.15,100.7,1.41306,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,1,323.15,100.7,1.41175,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
