setid,reference,property,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TtPGQ,Adeosun and Sime (1978),Normal melting temperature,Crystal 1,ACHFmj,CCCCCCCCCCC(=O)[O-].CCCCCCCCCCC(=O)[O-].[Pb+2],lead(2+) diundecanoate,,,,,,
Jqttt,Adeosun and Sime (1978),Normal melting temperature,Crystal 1,ABwQUQ,CCCCCCCCC(=O)[O-].CCCCCCCCC(=O)[O-].[Pb+2],lead(2+) nonanoate,,,,,,
LSXUl,Adeosun and Sime (1978),Normal melting temperature,Crystal 1,ABlbdO,CCCCCCC(=O)[O-].CCCCCCC(=O)[O-].[Pb+2],lead(2+) diheptanoate,,,,,,
oQWQm,Ahmed et al. (2018),Normal melting temperature,Crystal,ABQJqf,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],tetrabutylphosphonium methanesulfonate,,,,,,
sUfxN,Ahmed et al. (2018),Normal melting temperature,Crystal,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YRFfK,Ahmed et al. (2018),Normal melting temperature,Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
ArXHX,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABFHHE,Cc1n(C)cc[n+]1CCOc1ccccc1.[Br-],"1,2-dimethyl-3-(2-phenoxyethyl)-1H-imidazol-3-ium bromide",,,,,,
MugRy,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABHsCQ,Cc1n(C)cc[n+]1CCCOc1ccccc1.[Br-],"1,2-dimethyl-3-(3-phenoxypropyl)-1H-imidazol-3-ium bromide",,,,,,
DuiXA,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABKIfg,CN(C)c1cc[n+](CCOc2ccccc2)cc1.[Br-],4-(dimethylamino)-1-(2-phenoxyethyl)pyridinium bromide,,,,,,
UAHEZ,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABCDWy,[Br-].c1ccc(OCC[n+]2ccccn2)cc1,1-(2-phenoxyethyl)pyridazin-1-ium bromide,,,,,,
EVfcZ,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABEdfO,Cc1cccc[n+]1CCOc1ccccc1.[Br-],2-methyl-1-(2-phenoxyethyl)pyridinium bromide,,,,,,
bsLfd,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABEnkM,[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,1-(3-phenoxypropyl)pyridazin-1-ium bromide,,,,,,
oIrkM,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABEdQQ,Cc1ccc[n+](CCOc2ccccc2)c1.[Br-],3-methyl-1-(2-phenoxyethyl)pyridinium bromide,,,,,,
hGEFo,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABHOZi,Cc1ccc[n+](CCCOc2ccccc2)c1.[Br-],3-methyl-1-(3-phenoxypropyl)pyridinium bromide,,,,,,
MdkGR,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABEdls,Cc1cc[n+](CCOc2ccccc2)cc1.[Br-],4-methyl-1-(2-phenoxyethyl)pyridinium bromide,,,,,,
DhdGX,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABHOBL,Cc1cc[n+](CCCOc2ccccc2)cc1.[Br-],4-methyl-1-(3-phenoxypropyl)pyridinium bromide,,,,,,
ynUXU,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABMsDT,CN(C)c1cc[n+](CCCOc2ccccc2)cc1.[Br-],4-(dimethylamino)-1-(3-phenoxypropyl)pyridinium bromide,,,,,,
SieEg,Aljuhani et al. (2018),Normal melting temperature,Crystal,ABHOWh,Cc1cccc[n+]1CCCOc1ccccc1.[Br-],2-methyl-1-(3-phenoxypropyl)pyridinium bromide,,,,,,
gjqXa,Aljuhani et al. (2019),Normal melting temperature,Crystal,ABvNnc,Cc1cc[n+](CC(=O)Nc2ccc(I)cc2F)cc1.F[P-](F)(F)(F)(F)F,1-(2-((2-fluoro-4-iodophenyl)amino)-2-oxoethyl)-4-methylpyridin-1-ium hexafluorophosphate,,,,,,
qrnDX,Aljuhani et al. (2019),Normal melting temperature,Crystal,ABvNEr,Cc1ccc[n+](CC(=O)Nc2ccc(I)cc2F)c1.F[P-](F)(F)(F)(F)F,1-(2-((2-fluoro-4-iodophenyl)amino)-2-oxoethyl)-3-methylpyridin-1-ium hexafluorophosphate,,,,,,
unkWt,Aljuhani et al. (2019),Normal melting temperature,Crystal,ABTfpt,Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1.O=C([O-])C(F)(F)F,1-(2-((3-fluoro-4-methylphenyl)amino)-2-oxoethyl)-4-methylpyridin-1-ium trifluoroacetate,,,,,,
LUrDo,Aljuhani et al. (2019),Normal melting temperature,Crystal,ABZmGw,Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1.F[P-](F)(F)(F)(F)F,1-(2-((3-fluoro-4-methylphenyl)amino)-2-oxoethyl)-4-methylpyridin-1-ium hexafluorophosphate,,,,,,
XkjkE,Aljuhani et al. (2019),Normal melting temperature,Crystal,ABTfGp,Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1.O=C([O-])C(F)(F)F,1-(2-((3-fluoro-4-methylphenyl)amino)-2-oxoethyl)-3-methylpyridin-1-ium trifluoroacetate,,,,,,
rRmNI,Aljuhani et al. (2019),Normal melting temperature,Crystal,ABZmdu,Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1.F[P-](F)(F)(F)(F)F,1-(2-((3-fluoro-4-methylphenyl)amino)-2-oxoethyl)-3-methylpyridin-1-ium hexafluorophosphate,,,,,,
LLGDL,Allen et al. (1985),Normal melting temperature,Crystal,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,,,,
TYkZj,Alves et al. (2010),Normal melting temperature,Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
IJrTm,Annat et al. (2012),Normal melting temperature,Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
mieGR,Annat et al. (2012),Normal melting temperature,Crystal 1,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
rzGHR,Annat et al. (2012),Normal melting temperature,Crystal,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,,,,,,
Lcgtv,Annat et al. (2012),Normal melting temperature,Crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
UXXQa,Annat et al. (2012),Normal melting temperature,Crystal,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,,,
aaBpt,Appetecchi et al. (2011),Normal melting temperature,Crystal,ABuISo,CC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,tetraethyammonium bis[(pentafluoroethyl)sulfonyl]imide,,,,,,
FqGHS,Appetecchi et al. (2011),Normal melting temperature,Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
NhwZu,Appetecchi et al. (2011),Normal melting temperature,Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
SpFSp,Appetecchi et al. (2011),Normal melting temperature,Crystal,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,,,,
hLUCz,Appetecchi et al. (2011),Normal melting temperature,Crystal,ABwYOR,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis((perfluoroethyl)sulfonyl)amide,,,,,,
MfHvy,Appetecchi et al. (2011),Normal melting temperature,Crystal,ABtnYW,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-1-propylpyrrolidin-1-ium bis((perfluoroethyl)sulfonyl)amide,,,,,,
wepNq,Appetecchi et al. (2011),Normal melting temperature,Crystal,ABoTpO,C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1,1-dimethylpyrrolidinium bis((perfluoroethyl)sulfonyl)amide",,,,,,
ewjSV,Appetecchi et al. (2011),Normal melting temperature,Crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
zGVXj,Aranowski et al. (2016),Normal melting temperature,Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
XPqoc,Aranowski et al. (2016),Normal melting temperature,Crystal,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
XNmdI,Arce et al. (2007c),Normal melting temperature,Crystal,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
kbRIF,Archer (2006),Normal melting temperature,Metastable crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
nPOVG,Archer (2006),Normal melting temperature,Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
PNUhj,Aurbach et al. (2006),Normal melting temperature,Crystal,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,,,,,,
QtUOP,Bandres et al. (2009c),Normal melting temperature,Crystal,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,,,,
TsukK,Berdzinski et al. (2015),Normal melting temperature,Crystal,ABZdWD,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)N1C=[N+](C=C1)C=C,1-ethyl-3-vinylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
usepc,Berger and Bircher (2005),Normal melting temperature,Crystal,AAkqeJ,O=[N+]([O-])[N-][N+](=O)[O-].[Rb+],rubidium dinitramide,,,,,,
bOOhb,Berger and Bircher (2005),Normal melting temperature,Crystal,AAtxBt,O=[N+]([O-])[N-][N+](=O)[O-].[Cs+],cesium dinitramide,,,,,,
tFIMR,Bernardino et al. (2019),Normal melting temperature,Crystal 1,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,,,,
OCIQt,Bhatt and Gohil (2013),Normal melting temperature,Crystal,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,,,,
QVrDb,Bhatt and Gohil (2013),Normal melting temperature,Crystal,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,,,,,,
LCDsZ,Bhatt and Gohil (2013),Normal melting temperature,Crystal,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,,,,
KhvRs,Bogel-Lukasik et al. (2010b),Normal melting temperature,Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
OsmZl,Bouarab et al. (2020a),Normal melting temperature,Crystal,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,,,,,,
dZWhy,Bouarab et al. (2020a),Normal melting temperature,Crystal,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,,,,,,
jdoPW,Bouarab et al. (2020a),Normal melting temperature,Crystal,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,,,,
akYSJ,Branco et al. (2002),Normal melting temperature,Crystal,ABDBVM,COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-(2-methoxyethyl)-3-methyl-imidazolium hexafluorophosphate,,,,,,
cNwuo,Brauer et al. (2015),Normal melting temperature,Crystal,ABAwOR,CCC[n+]1cn(C)cn1.O=S(=O)([O-])C(F)(F)F,"4-methyl-1-propyl-1,2,4-triazolium trifluoromethanesulfonate",,,,,,
YfNXG,Broome et al. (1951),Normal melting temperature,Crystal,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,,,,,,
SUsQS,Brown et al. (2012),Normal melting temperature,Crystal,ACDrEP,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,"1-butyl-3-methyl-1H-imidazolium 1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",,,,,,
jLVIo,Brown et al. (2012),Normal melting temperature,Crystal,ACUUZu,CCCCCCOC(=O)CC(C(=O)OCCCCCC)C(C(=O)OCCCCCC)S(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,"1-butyl-3-methylimidazolium 1,5-bis(hexyloxy)-3-((hexyloxy)carbonyl)-1,5-dioxopentane-2-sulfonate",,,,,,
uQtRT,Brown et al. (2022),Normal melting temperature,Crystal 1,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,,,
Eiaqd,Brown et al. (2022),Normal melting temperature,Crystal 1,AAmQaq,CS(=O)(=O)[O-].C[N+](C)(C)CCO,choline methanesulfonate,,,,,,
fxwaP,Brown et al. (2022),Normal melting temperature,Crystal 1,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",,,,,,
yhHkE,Brown et al. (2022),Normal melting temperature,Crystal 1,AAfxbB,C[N+](C)(C)CCO.O=[N+]([O-])[O-],choline nitrate,,,,,,
JkDAp,Brown et al. (2022),Normal melting temperature,Crystal 1,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,,,,
aKyuG,Brown et al. (2022),Normal melting temperature,Crystal 1,AAaTxq,O=C([O-])CO.[NH3+]CCO,ethanolammonium glycolate,,,,,,
uIkgS,Brown et al. (2022),Normal melting temperature,Crystal 1,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,,,
srkFQ,Brunig et al. (2016),Normal melting temperature,Crystal,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,,,,
PKgeg,Brunig et al. (2016),Normal melting temperature,Crystal,AAjqbN,CC(=O)[O-].Cn1cc[n+](CCO)c1,1-(2-hydroxyethyl)-3-methylimidazolium acetate,,,,,,
SxScz,Brunig et al. (2016),Normal melting temperature,Crystal,AAnWPV,CC(C)[n+]1ccn(C)c1.[Br-],1-isopropyl-3-methylimidazolium bromide,,,,,,
rlSpU,Brunig et al. (2016),Normal melting temperature,Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
yHBOP,Burrell et al. (2010),Normal melting temperature,Crystal,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,,,,
PzlAh,Burton et al. (2019),Normal melting temperature,Crystal,ACzAzD,CCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(2,3-bis(dodecylthio)propyl)-1-methylimidazolium bis(trifluoromethanesulfonyl)amide",,,,,,
KVlPi,Burton et al. (2019),Normal melting temperature,Crystal,ACDyeq,CCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCC.[Cl-],"3-(2,3-bis(dodecylthio)propyl)-1-methylimidazolium chloride",,,,,,
yGfEx,Burton et al. (2019),Normal melting temperature,Crystal,ACOnbW,CCCCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCCCC.[Cl-],"3-(2,3-bis(tetradecylthio)propyl)-1-methylimidazolium chloride",,,,,,
JFMLk,Burton et al. (2019),Normal melting temperature,Crystal,ADJqdF,CCCCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(2,3-bis(tetradecylthio)propyl)-1-methylimidazolium bis(trifluoromethanesulfonyl)amide",,,,,,
hTcjG,Cabeza et al. (2014),Normal melting temperature,Crystal,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,,,,
TVzeK,Cai et al. (2020b),Normal melting temperature,Crystal,ABVwkM,CCCCCCCC[n+]1ccc(N(C)C)cc1.O=S(=O)([O-])C(F)(F)F,1-octyl-4-(dimethylamino)pyridinium trifluoromethanesulfonate,,,,,,
seyZe,Calvar et al. (2013a),Normal melting temperature,Metastable crystal,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate,,,,,,
TnNrT,Calvar et al. (2013a),Normal melting temperature,Crystal,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
hELOU,Calvar et al. (2013a),Normal melting temperature,Crystal 1,ABFdjO,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylpyridinium trifluoromethanesulfonate,,,,,,
ZCXts,Calvar et al. (2013a),Normal melting temperature,Crystal 1,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,,,,
FVKBq,Calvar et al. (2013a),Normal melting temperature,Crystal,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
isIWj,Canongia Lopes et al. (2016),Normal melting temperature,Crystal,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,,,,
cmvpy,Canongia Lopes et al. (2016),Normal melting temperature,Crystal,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,,,,
sQNvR,Cao et al. (2015),Normal melting temperature,Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
rZRBr,Carignan and Satriana (1967),Normal melting temperature,Crystal,AAlmoM,O=[N+]([O-])[O-].c1ccc2c(c1)CC[NH2+]C2,"3,4-benzo-1-azacyclohexane nitrate",,,,,,
uEQCu,Carreira et al. (2021),Normal melting temperature,Crystal,ABaKPM,CCCC[N+](CCCC)(CCCC)CCCC.N[C@H](Cc1ccccc1)C(=O)[O-],tetrabutylammonium D-phenylalaninate,,,,,,
TkUzb,Carreira et al. (2021),Normal melting temperature,Crystal,ABbwBA,CCCC[N+](CCCC)(CCCC)CCCC.N=C(N)NCCC[C@H](N)C(=O)[O-],tetrabutylammonium L-arginate,,,,,,
rosIg,Carreira et al. (2021),Normal melting temperature,Crystal,ABLdxI,CCCC[N+](CCCC)(CCCC)CCCC.C[C@H](N)C(=O)[O-],tetrabutylammonium L-alaninate,,,,,,
RDPWb,Castaneda et al. (2008),Normal melting temperature,Crystal,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,,,
WCnUQ,Castillo et al. (2021),Normal melting temperature,Crystal,ACJemE,CCCCCCCCCCCCCCCC[n+]1ccsc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-hexadecylthiazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
leTct,Castillo et al. (2021),Normal melting temperature,Crystal,ABXrps,CC[n+]1ccsc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-ethylthiazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
FBETT,Castillo et al. (2021),Normal melting temperature,Crystal,ABigkk,CCCCCC[n+]1ccsc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-hexylthiazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
CXixY,Castillo et al. (2021),Normal melting temperature,Crystal,ABypEg,CCCCCCCCCCCC[n+]1ccsc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-dodecylthiazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
pYcmr,Castro et al. (2016b),Normal melting temperature,Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
XxGkl,Cervinka and Kriz (1966),Normal melting temperature,Crystal,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,,,
vodws,Chhotaray and Gardas (2014),Normal melting temperature,Crystal,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,,,,
hCiSg,Chun et al. (2001),Normal melting temperature,Crystal,ABQHTW,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-nonyl-3-methylimidazolium hexafluorophosphate,,,,,,
ZTABW,Coker et al. (1970),Normal melting temperature,Crystal 1,ABRRch,CCCCC[N+](CCCCC)(CCCCC)CCCCC.O=[N+]([O-])[O-],tetrapentylammonium nitrate,,,,,,
NIROk,Coker et al. (1970),Normal melting temperature,Crystal 1,ABcGon,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])[O-],tetrahexylammonium nitrate,,,,,,
SclpC,Coker et al. (1970),Normal melting temperature,Crystal 1,ABgusv,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.F[B-](F)(F)F,"N,N,N-trihexyl-1-hexanaminium tetrafluoroborate",,,,,,
GmkhO,Coker et al. (1970),Normal melting temperature,Crystal,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,,,
