setid,reference,propertiy,phases,compound id 1,compound id 2,compound id 3,np,compound name 1,compound name 2,compound name 3
mpOuS,Hauk et al. (2021),Density,Liquid,AAgcST,AAIsrh,,351,1-ethyl-3-methylimidazolium thiocyanate,ethanol,
keLRf,Hauk et al. (2022),Density,Liquid,AAyCVz,AAONVE,,351,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,butan-1-ol,
xcxOo,Hauk et al. (2022),Density,Liquid,AAyCVz,AALcLI,,351,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,propan-1-ol,
MvAsW,Hauk et al. (2022),Density,Liquid,AAyCVz,AAIsrh,,351,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,ethanol,
QslbG,Hauk et al. (2023),Density,Liquid,ABXNZH,AAGIBL,,351,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,methanol,
KTHvs,Hauk et al. (2023),Density,Liquid,ABXNZH,AALcLI,,351,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,propan-1-ol,
aDiZf,Hauk et al. (2023),Density,Liquid,ABXNZH,AAIsrh,,351,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,ethanol,
hophp,Curras et al. (2014),Density,Liquid,AATMSw,AAmDom,,350,"2,2,2-trifluoroethanol",1-ethyl-3-methylimidazolium tetrafluoroborate,
badCR,Anwar and Riyazuddeen (2018),Density,Liquid,AAyCVz,AAPByN,AAHueB,336,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,dimethyl sulfoxide,acetonitrile
NQMZi,Domanska et al. (2018e),Density,Liquid,AByLzK,AAXZQi,,330,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,2-phenylethanol,
VAkgV,Sajid et al. (2021),Density,Liquid,AAOWgA,ABChJv,AADYJk,330,2-aminoacetic acid,1-butyl-3-methylimidazolium hexafluorophosphate,water
cMBrb,Singh et al. (2017b),Density,Liquid,AAhtMm,ABgaDK,AADYJk,320,L-ascorbic acid,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",water
zToCA,Yamanaka and Kaneshima (1991),Density,Liquid,AAymqm,ABHPBX,AADYJk,317,"N,N,N-trimethyl-1-dodecanaminium chloride",dodecyltrimethylammonium bromide,water
CeyYb,Stevanovic et al. (2012),Density,Liquid,AADYJk,AAgmaR,,316,water,1-ethyl-3-methylimidazolium acetate,
UUKLu,Abdulagatov et al. (2008c),Density,Liquid,AAGIBL,AArYBF,,315,methanol,1-butyl-3-methylimidazolium tetrafluoroborate,
oBeHn,Abdulagatov et al. (2009),Density,Liquid,AAGIBL,ABPBvB,,315,methanol,1-butyl-3-methylimidazolium octyl sulfate,
scsUl,Goldon et al. (2007),Density,Liquid,AAGIBL,AAoCnc,,315,methanol,"1,3-dimethylimidazolium methylsulfate",
sDEqS,Stevanovic et al. (2012),Density,Liquid,AADYJk,AAmGQS,,315,water,1-butyl-3-methylimidazolium acetate,
Ezvzb,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,AAoqAv,AAkmTS,310,water,tripotassium phosphate,1-ethyl-3-methylimidazolium bromide
QmRHZ,Hiraga et al. (2017b),Density,Liquid,AAherF,ABchwx,,300,1-butyl-3-methylimidazolium chloride,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
wNdsZ,Panda et al. (2020),Density,Liquid,AAihiT,AAiEum,AADYJk,280,D-glucose,cholinium propanoate,water
Wcsnq,Kumar et al. (2021d),Density,Liquid,AAZLwl,ABLlfj,AADYJk,275,L-leucine,1-dodecyl-3-methylimidazolium bromide,water
CZFGn,Abdulagatov et al. (2008a),Density,Liquid,AAIsrh,AArYBF,,270,ethanol,1-butyl-3-methylimidazolium tetrafluoroborate,
DvshM,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,AADYJk,AAoChY,270,lithium chloride,water,1-ethyl-3-methylimidazolium hydrogen sulfate
yHoef,Widowati and Lee (2012),Density,Liquid,AAUpuK,ABdMCc,,270,anisole,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,
YtpCf,Widowati and Lee (2012),Density,Liquid,AAXFxu,ABdMCc,,270,acetophenone,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,
laijh,Widowati and Lee (2013),Density,Liquid,AAUpuK,ABchwx,,270,anisole,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
wOWws,Widowati and Lee (2013),Density,Liquid,AAXFxu,ABchwx,,270,acetophenone,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
gTIUR,Safarov et al. (2013b),Density,Liquid,ABiCtA,,,266,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,
hczyx,Singh et al. (2023b),Density,Liquid,ABEGoR,ABLlfj,AADYJk,264,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",1-dodecyl-3-methylimidazolium bromide,water
umXNk,Singh et al. (2023b),Density,Liquid,ABEGoR,ABGQHG,AADYJk,264,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",1-decyl-3-methylimidazolium bromide,water
tkBDt,Matkowska and Hofman (2012),Density,Liquid,AArYBF,,,261,1-butyl-3-methylimidazolium tetrafluoroborate,,
Neilv,Matkowska and Hofman (2012),Density,Liquid,AAtWDT,,,261,1-ethyl-3-methylimidazolium ethyl sulfate,,
JjPiY,Matkowska and Hofman (2012),Density,Liquid,AAwHNg,,,261,1-butyl-3-methylimidazolium methyl sulfate,,
aaiVh,Golabiazar and Sadeghi (2014b),Density,Liquid,AADYJk,AAKOQZ,ABLlfj,258,water,ammonium chloride (NH4Cl),1-dodecyl-3-methylimidazolium bromide
mETbr,Han et al. (2009),Density,Liquid,AAHueB,AArYBF,,253,acetonitrile,1-butyl-3-methylimidazolium tetrafluoroborate,
iayUb,Krolikowska and Zawadzki (2018),Density,Liquid,ABVwPg,AADYJk,,252,tributylethylphosphonium diethylphosphate,water,
ngUTL,Kumar and Katal (2018b),Density,Liquid,AAuowU,AArYBF,AADYJk,250,"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",1-butyl-3-methylimidazolium tetrafluoroborate,water
dWeVJ,Kumar and Katal (2018b),Density,Liquid,AAoTqw,AArYBF,AADYJk,250,trilithium citrate,1-butyl-3-methylimidazolium tetrafluoroborate,water
AMwVf,Patyar et al. (2018),Density,Liquid,AAUKxI,AADYJk,AAqHiH,250,L-serine,water,1-butyl-3-methylimidazolium bromide
THryi,Patyar et al. (2018),Density,Liquid,AAOWgA,AADYJk,AAqHiH,250,2-aminoacetic acid,water,1-butyl-3-methylimidazolium bromide
RakRk,Singh et al. (2016c),Density,Liquid,AAihiT,AADYJk,AAULkX,245,D-glucose,water,propylammonium formate
Ipjhi,Alvarez et al. (2010),Density,Liquid,AAfUcO,,,241,2-hydroxy-N-methylethanaminium isobutyrate,,
HkngG,Alvarez et al. (2010),Density,Liquid,AAiEQh,,,241,2-hydroxy-N-methylethanaminium pentanoate,,
uTjfy,Alvarez et al. (2010),Density,Liquid,AAXPHb,,,241,2-hydroxy-N-methylethanaminium formate,,
eZGGB,Alvarez et al. (2010),Density,Liquid,AAZzlz,,,241,N-methyl-2-hydroxyethylammonium acetate,,
Qmsgg,Alvarez et al. (2010),Density,Liquid,AAcjLb,,,241,2-hydroxy-N-methylethanaminium propionate,,
rgtnm,Alvarez et al. (2010),Density,Liquid,AAfUVe,,,241,N-methyl-2-hydroxyethylammonium butanoate,,
IzgIC,Cota et al. (2007),Density,Liquid,AAdDov,,,241,diethanolammonium formate,,
pmHoh,Chauhan et al. (2015),Density,Liquid,AAPByN,ABDXmt,AAcuEd,240,dimethyl sulfoxide,sodium dodecyl sulfate,"5-amino-3H-1,2,4-dithiazole-3-thione"
yRRRr,De Lisi et al. (1984),Density,Liquid,AAQxal,ABDXmt,AADYJk,240,pentan-1-ol,sodium dodecyl sulfate,water
KmuZF,Panda et al. (2020),Density,Liquid,AActJI,AAiEum,AADYJk,240,D-xylose,cholinium propanoate,water
cdzQZ,Patyar et al. (2018),Density,Liquid,AARGJq,AADYJk,AAqHiH,240,(S)-2-aminopropanoic acid,water,1-butyl-3-methylimidazolium bromide
ExYlO,Sharma et al. (2022a),Density,Liquid,AAZLwl,AArYBF,AADYJk,240,L-leucine,1-butyl-3-methylimidazolium tetrafluoroborate,water
mcaCd,Jain and Zodape (2022),Density,Liquid,AAkOQZ,AAOWgA,AADYJk,238,"1-butyl-2,3-dimethylimidazolium chloride",2-aminoacetic acid,water
FgrGx,de Castro et al. (2010),Density,Liquid,ABchwx,,,237,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,
cuwXf,Marczak et al. (2013),Density,Liquid,AAUfJj,AADYJk,ABchwx,233,"2,6-dimethylpyridine",water,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
eVzpF,Hnedkovsky and Hefter (2021),Density,Liquid,AAhEBB,AADYJk,,231,sodium trifluoromethanesulfonate,water,
rHWwK,Yin et al. (2016),Density,Liquid,AALmBl,AADYJk,AArYBF,225,2-aminoethan-1-ol,water,1-butyl-3-methylimidazolium tetrafluoroborate
QiPVB,Yin et al. (2017),Density,Liquid,AArYBF,AAWveB,AADYJk,225,1-butyl-3-methylimidazolium tetrafluoroborate,N-methyldiethanolamine,water
HyVNv,Jain and Zodape (2023),Density,Liquid,AAyqRj,AAihiT,AADYJk,224,1-ethyl-3-methylimidazolium diethyl phosphate,D-glucose,water
qkpTL,Troncoso (2021),Density,Liquid,AAtejH,AADYJk,,224,1-butyl-3-methylpyridinium tetrafluoroborate,water,
EyYPS,Kumar and Katal (2018a),Density,Liquid,AAxgvN,AArYBF,AADYJk,220,trisodium citrate,1-butyl-3-methylimidazolium tetrafluoroborate,water
JVqcI,Kumar and Katal (2018a),Density,Liquid,ABGvsa,AArYBF,AADYJk,220,potassium citrate,1-butyl-3-methylimidazolium tetrafluoroborate,water
EuCrG,Kumar and Katal (2018c),Density,Liquid,AAbPBR,AArYBF,AADYJk,220,disodium hydrogen phosphate,1-butyl-3-methylimidazolium tetrafluoroborate,water
cxBhM,Kumar and Katal (2018c),Density,Liquid,AAhZiT,AArYBF,AADYJk,220,dipotassium hydrogen phosphate,1-butyl-3-methylimidazolium tetrafluoroborate,water
iOfov,Kumar and Sharma (2020),Density,Liquid,AAvbcc,AARGJq,AADYJk,220,1-hexyl-3-methyl-1H-imidazolium bromide,(S)-2-aminopropanoic acid,water
ddkjz,Kumar and Sharma (2020),Density,Liquid,AAvbcc,AAfnoT,AADYJk,220,1-hexyl-3-methyl-1H-imidazolium bromide,L-phenylalanine,water
PCHYt,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,AAOWgA,AADYJk,220,1-hexyl-3-methyl-1H-imidazolium bromide,2-aminoacetic acid,water
PUPKo,Kumar and Sharma (2021a),Density,Liquid,AAvbcc,AAZVtd,AADYJk,220,1-hexyl-3-methyl-1H-imidazolium bromide,glycylglycine,water
ighyH,Kumar et al. (2021a),Density,Liquid,AAOWgA,ABLlfj,AADYJk,220,2-aminoacetic acid,1-dodecyl-3-methylimidazolium bromide,water
yjzjq,Kumar et al. (2021a),Density,Liquid,AAWbiv,ABLlfj,AADYJk,220,L-valine,1-dodecyl-3-methylimidazolium bromide,water
NUkcm,Kumar et al. (2021b),Density,Liquid,AAZLwl,AAvbcc,AADYJk,220,L-leucine,1-hexyl-3-methyl-1H-imidazolium bromide,water
gouCF,Kumar et al. (2021d),Density,Liquid,AARGJq,ABLlfj,AADYJk,220,(S)-2-aminopropanoic acid,1-dodecyl-3-methylimidazolium bromide,water
FdpRk,Martins et al. (2020),Density,Liquid,AAqJKU,AAyqGc,,220,"N,N-diethyl-2-ethanolammonium pentanoate",1-butyl-3-methyl-1H-imidazolium dimethylphosphate,
zOzDl,Martins et al. (2020),Density,Liquid,AAnYBj,AAyqGc,,220,"N,N-diethyl-2-ethanolammonium butanoate",1-butyl-3-methyl-1H-imidazolium dimethylphosphate,
ZaiEt,Martins et al. (2020),Density,Liquid,ABPLno,AAyqGc,,220,"N,N-diethylethanolammonium hydrogen dihexanoate",1-butyl-3-methyl-1H-imidazolium dimethylphosphate,
ICnbL,Martins et al. (2020),Density,Liquid,AAzBBi,AAyqGc,,220,"N,N-diethylethanolammonium hydrogen dipropanoate",1-butyl-3-methyl-1H-imidazolium dimethylphosphate,
vQtRt,Shekaari et al. (2012b),Density,Liquid,AAOCWD,AAtqtv,AAvbcc,220,dimethylformamide,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",1-hexyl-3-methyl-1H-imidazolium bromide
AfOjH,Shekaari et al. (2015b),Density,Liquid,AAHueB,AAtqtv,AAvbcc,220,acetonitrile,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",1-hexyl-3-methyl-1H-imidazolium bromide
CJGBr,Shekaari et al. (2015b),Density,Liquid,AAHueB,AAtqtv,AAmzKp,220,acetonitrile,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",1-hexyl-3-methylimidazolium chloride
grAGx,Shekaari et al. (2015b),Density,Liquid,AAHueB,AAtqtv,AAnWVs,220,acetonitrile,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",1-methyl-3-propylimidazolium bromide
qZKux,Shekaari et al. (2015b),Density,Liquid,AAHueB,AAtqtv,AAsrIo,220,acetonitrile,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",1-pentyl-3-methylimidazolium bromide
fAPbU,Wang et al. (2009d),Density,Liquid,AADYJk,AAtWDT,,220,water,1-ethyl-3-methylimidazolium ethyl sulfate,
udOYz,Tong et al. (2009),Density,Liquid,AADYJk,ABAJVL,,216,water,3-methyl-1-propyl-1H-imidazolium (S)-2-amino-4-carboxybutanoate,
MZcum,Martins et al. (2020),Density,Liquid,AAiEFX,AAyqGc,,211,N-(2-hydroxyethyl)butan-1-aminium acetate,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,
olyvW,Kumar and Chadha (2015a),Density,Liquid,AAbPBR,AADYJk,AAmzKp,210,disodium hydrogen phosphate,water,1-hexyl-3-methylimidazolium chloride
WNAqs,Sharma et al. (2022d),Density,Liquid,AAWbei,ABLlfj,AADYJk,210,N-acetylglycine,1-dodecyl-3-methylimidazolium bromide,water
sdGIG,Navarro et al. (2019a),Density,Liquid,ACFcKF,,,207,bis(1-butyl-3-methylimidazolium) tetrathiocyanatocobaltate,,
zBZgc,Navarro et al. (2020),Density,Liquid,AAuLqL,,,207,1-butyl-4-methylpyridinium tricyanomethanide,,
KWOek,Navarro et al. (2020),Density,Liquid,AAmkSk,,,207,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,
yvCoh,Martins et al. (2020),Density,Liquid,AAiEFX,ABchwx,,206,N-(2-hydroxyethyl)butan-1-aminium acetate,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
RbquW,Kumar and Chadha (2015a),Density,Liquid,AADYJk,AAhZiT,AAmzKp,205,water,dipotassium hydrogen phosphate,1-hexyl-3-methylimidazolium chloride
hTJvF,de Castro et al. (2010),Density,Liquid,AAtWDT,,,203,1-ethyl-3-methylimidazolium ethyl sulfate,,
QMCZt,Han et al. (2009),Density,Liquid,AAIsrh,AArYBF,,200,ethanol,1-butyl-3-methylimidazolium tetrafluoroborate,
wNlCs,Kumar et al. (2016),Density,Liquid,AAOgvx,ABDXmt,AADYJk,200,2-methoxyethan-1-ol,sodium dodecyl sulfate,water
MSoql,Panda et al. (2019),Density,Liquid,AAOWgA,AAqJgN,AADYJk,200,2-aminoacetic acid,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",water
rxBPH,Panda et al. (2019),Density,Liquid,AAOWgA,AAiEum,AADYJk,200,2-aminoacetic acid,cholinium propanoate,water
QIfSC,Sharma et al. (2022b),Density,Liquid,ABNqYl,AAtSLY,AADYJk,200,D-sucrose,methyltributylammonium chloride,water
pdYpv,Sharma et al. (2022e),Density,Liquid,AAfnoT,ABLlfj,AADYJk,200,L-phenylalanine,1-dodecyl-3-methylimidazolium bromide,water
gknCo,Sharma et al. (2022e),Density,Liquid,AAdDdl,ABLlfj,AADYJk,200,(S)-2-amino-2-phenylacetic acid,1-dodecyl-3-methylimidazolium bromide,water
cqLMV,Singh et al. (2015a),Density,Liquid,AAOWgA,AADYJk,AAULkX,200,2-aminoacetic acid,water,propylammonium formate
UWYDt,Blahusiak and Schlosser (2014),Density,Liquid,AAgnKZ,AADYJk,ACskOY,196,dodecane,water,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
SPpLW,Kumar and Chadha (2014),Density,Liquid,AAxgvN,AADYJk,AAmzKp,195,trisodium citrate,water,1-hexyl-3-methylimidazolium chloride
jiaTr,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,ABDCpZ,AADYJk,195,disodium ceftriaxone,1-octyl-4-methylpyridinium bromide,water
mbLpf,Richu et al. (2021),Density,Liquid,AAhtMm,AAoChY,AADYJk,192,L-ascorbic acid,1-ethyl-3-methylimidazolium hydrogen sulfate,water
GAqor,Richu et al. (2021),Density,Liquid,ABMsYK,AAoChY,AADYJk,192,thiamine hydrochloride,1-ethyl-3-methylimidazolium hydrogen sulfate,water
ZWuqT,Kumar and Chadha (2014),Density,Liquid,ABGvsa,AADYJk,AAmzKp,190,potassium citrate,water,1-hexyl-3-methylimidazolium chloride
ULqZi,Patyar et al. (2018),Density,Liquid,AATrxK,AADYJk,AAqHiH,190,(.+-.)-.alpha.-aminobutyric acid,water,1-butyl-3-methylimidazolium bromide
cEeJz,Carvalho et al. (2014),Density,Liquid,AAIYzl,AAtWDT,,188,carbon dioxide,1-ethyl-3-methylimidazolium ethyl sulfate,
GqHPf,Liu et al. (2021a),Density,Liquid,ABfReB,AATgdC,,182,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",propylene carbonate,
rsHQi,Troncoso (2021),Density,Liquid,ABDWVo,AADYJk,,182,1-butyl-3-methylimidazolium trifluoromethanesulfonate,water,
vifFt,Troncoso (2021),Density,Liquid,AAwHNg,AADYJk,,182,1-butyl-3-methylimidazolium methyl sulfate,water,
vJAzV,Machida et al. (2008b),Density,Liquid,ABChJv,,,181,1-butyl-3-methylimidazolium hexafluorophosphate,,
qtmfe,Machida et al. (2008b),Density,Liquid,AArYBF,,,181,1-butyl-3-methylimidazolium tetrafluoroborate,,
fuYKc,Yin et al. (2015),Density,Liquid,AADYJk,ACOKCq,ABLlfj,181,water,"1,2-bis(dimethyldodecylammonium)ethane dibromide",1-dodecyl-3-methylimidazolium bromide
cKhFT,Kumar et al. (2020a),Density,Liquid,AAhQiT,AAherF,AADYJk,180,N-acetyl-L-leucine,1-butyl-3-methylimidazolium chloride,water
gNIhl,Kumar et al. (2020a),Density,Liquid,AAZLwl,AAherF,AADYJk,180,L-leucine,1-butyl-3-methylimidazolium chloride,water
lMgRb,Kumar et al. (2021b),Density,Liquid,AAhQiT,AAvbcc,AADYJk,180,N-acetyl-L-leucine,1-hexyl-3-methyl-1H-imidazolium bromide,water
FHbSL,Martins et al. (2020),Density,Liquid,AAtgwj,AAyqGc,,180,"N,N-diethylethanolammonium hydrogen diacetate",1-butyl-3-methyl-1H-imidazolium dimethylphosphate,
mssPn,Sharma et al. (2020),Density,Liquid,AAdrVa,AArYBF,AADYJk,180,L-histidine,1-butyl-3-methylimidazolium tetrafluoroborate,water
VBnnA,Singh et al. (2015a),Density,Liquid,AARGzi,AADYJk,AAULkX,180,DL-2-aminopropanoic acid,water,propylammonium formate
fspjJ,Taguchi et al. (2009),Density,Liquid,AAwscj,,,180,1-hexyl-3-methylimidazolium tetrafluoroborate,,
JcWqM,Taguchi et al. (2009),Density,Liquid,AAmDom,,,180,1-ethyl-3-methylimidazolium tetrafluoroborate,,
nItqv,Taguchi et al. (2009),Density,Liquid,ABICIG,,,180,1-hexyl-3-methylimidazolium hexafluorophosphate,,
wvqqZ,Taguchi et al. (2009),Density,Liquid,ABNWoR,,,180,1-octyl-3-methylimidazolium hexafluorophosphate,,
MOrvS,Patyar and Kaur (2022),Density,Liquid,AAOWgA,AADYJk,AAqHiH,176,2-aminoacetic acid,water,1-butyl-3-methylimidazolium bromide
xfdUl,Patyar and Kaur (2022),Density,Liquid,AARGJq,AADYJk,AAqHiH,176,(S)-2-aminopropanoic acid,water,1-butyl-3-methylimidazolium bromide
AcFtD,Sharma et al. (2016b),Density,Liquid,AAOWgA,ABSElq,AADYJk,176,2-aminoacetic acid,"N,N,N-trimethyl-1-hexadecanaminium bromide",water
HgEXm,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,AAxiEX,AADYJk,175,disodium ceftriaxone,1-hexyl-4-methylpyridinium bromide,water
BbxLK,Anwar and Riyazuddeen (2017),Density,Liquid,AAtWDT,AAONVE,AAGIBL,174,1-ethyl-3-methylimidazolium ethyl sulfate,butan-1-ol,methanol
YzpwV,Goncalves et al. (2011),Density,Liquid,ACBnAk,,,173,tetradecyl(trihexyl)phosphonium dicyanamide,,
rXDAF,Hamidova et al. (2015),Density,Liquid,ABchwx,,,170,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,
JDkzq,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,AALcLI,AAwscj,170,propan-2-ol,propan-1-ol,1-hexyl-3-methylimidazolium tetrafluoroborate
uxJTQ,Machida et al. (2008b),Density,Liquid,ABPBvB,,,170,1-butyl-3-methylimidazolium octyl sulfate,,
ZRuou,Safarov et al. (2014a),Density,Liquid,AAmGQS,,,170,1-butyl-3-methylimidazolium acetate,,
unAaP,Safarov et al. (2017b),Density,Liquid,ACISwI,,,170,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,
YOkvt,Safarov et al. (2018d),Density,Liquid,ABCNhW,,,170,1-methyl-3-octylimidazolium tetrafluoroborate,,
rMwNy,Safarov et al. (2020a),Density,Liquid,ABChJv,,,170,1-butyl-3-methylimidazolium hexafluorophosphate,,
qTrSu,Safarov et al. (2021b),Density,Liquid,AAiEIE,,,170,1-ethyl-3-methylimidazolium dicyanamide,,
afFLJ,Safarov et al. (2022),Density,Liquid,ABMocW,,,170,1-butyl-3-methylimidazolium tetrachloroferrate,,
sNLDf,de Castro et al. (2010),Density,Liquid,AAnYjG,,,170,1-butyl-3-methylimidazolium dicyanamide,,
YCPap,Aparicio et al. (2009),Density,Liquid,AAoCnc,,,168,"1,3-dimethylimidazolium methylsulfate",,
KJBIk,Aparicio et al. (2009),Density,Liquid,ABCPbo,,,168,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,,
MYHJD,Bounsiar et al. (2020),Density,Liquid,AAwOrj,,,168,1-hexylpyridinium tetrafluoroborate,,
YBaWF,Bounsiar et al. (2020),Density,Liquid,ABhYBm,,,168,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,,
hOESy,Davila et al. (2007),Density,Liquid,ABPBvB,,,168,1-butyl-3-methylimidazolium octyl sulfate,,
PxWvI,Diez et al. (2023),Density,Liquid,ABAIUM,,,168,"1-propylpyridinium 1,1,1-trifluoromethanesulfonate",,
SeViD,Iguchi et al. (2014),Density,Liquid,ABiCtA,,,168,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,
kTwmF,Krakowiak and Grzybkowski (2010),Density,Liquid,AAHueB,ABNNVs,,168,acetonitrile,tetrabutylphosphonium bromide,
ZykJH,Lehmann et al. (2010),Density,Liquid,AAHueB,AAtWDT,,168,acetonitrile,1-ethyl-3-methylimidazolium ethyl sulfate,
bftay,Paez et al. (2017),Density,Liquid,ABChJv,ABDWVo,,168,1-butyl-3-methylimidazolium hexafluorophosphate,1-butyl-3-methylimidazolium trifluoromethanesulfonate,
WTqoS,Richu and Kumar (2021),Density,Liquid,AAhtMm,AAqHiH,AADYJk,168,L-ascorbic acid,1-butyl-3-methylimidazolium bromide,water
MnPdR,Richu and Kumar (2021),Density,Liquid,AAXjAf,AAqHiH,AADYJk,168,3-carboxylpyridine,1-butyl-3-methylimidazolium bromide,water
sbALI,Sharma et al. (2022d),Density,Liquid,AAhQiT,ABLlfj,AADYJk,168,N-acetyl-L-leucine,1-dodecyl-3-methylimidazolium bromide,water
IKtrq,de Azevedo et al. (2005),Density,Liquid,ABchwx,,,168,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,
uLMCJ,Sohal et al. (2021),Density,Liquid,ABSElq,AAncat,AADYJk,167,"N,N,N-trimethyl-1-hexadecanaminium bromide","5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",water
qGIHu,Esperanca et al. (2006b),Density,Liquid,ABfRtt,,,165,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,
TVxGa,Esperanca et al. (2006b),Density,Liquid,ABZxGx,,,165,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,
Ovkwl,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,AAihzw,AADYJk,165,1-butyl-3-methylimidazolium tetrafluoroborate,(+)-galactose,water
ALnno,Frouzesh and Rafiee (2021),Density,Liquid,AArYBF,AActJI,AADYJk,165,1-butyl-3-methylimidazolium tetrafluoroborate,D-xylose,water
YCRGp,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,AAsNVj,AADYJk,165,disodium ceftriaxone,1-butyl-4-methylpyridinium bromide,water
