setid,"Normal melting temperature, K",reference,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jIqPL,364,Guo et al. (2014),Crystal,ACFjtr,Cn1cc[n+](CCOCCOCC[n+]2ccn(C)c2)c1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,"1,1'-[ethane-1,2-diylbis(oxyethane-2,1-diyl)]bis(3-methylimidazolium) hexafluorophosphate",,,,,,
qOrbL,386,Kubota et al. (2010b),Crystal,ABIKXU,O=S(=O)(F)[N-]S(=O)(=O)F.[Cs+],cesium bis(fluorosulfonyl)amide,,,,,,
ZtkeT,451.01,Yang et al. (2020b),Crystal,ACqOqz,C[N+](C)(C)CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-(3-(trimethylammonio)propyl)piperidin-1-ium bis((trifluoromethyl)sulfonyl)amide,,,,,,
oZnlA,378.7,Xenopoulous et al. (1992),Crystal,ABofoF,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[I-],tetrahexylammonium iodide,,,,,,
AvZgo,339.1,El Bourakadi et al. (2019),Crystal,AByDlR,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],3-methyl-1-octadecyl-2-(thiazol-4-yl)benzimidazolium nitrate,,,,,,
JWqIQ,277.56,Wachter et al. (2010),Crystal,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,,,
zIlua,321.1,Lethesh et al. (2014),Crystal,ABaVrp,CCCCCCCCCCCCCC[N+]1=C2CCCCCN2CCC1.N#C[S-],"1-tetradecyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium thiocyanate",,,,,,
wDAqe,289.1,Yasuda et al. (2013),Crystal,AAtMjG,C=CC[NH+](C)C.O=S(=O)([O-])C(F)(F)F,"N,N-dimethylprop-2-en-1-aminium trifluoromethanesulfonate",,,,,,
uIgkT,378.1,Sun et al. (1998),Crystal,ABlkqQ,CCC[N+](CCC)(CCC)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tetrapropylammonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
kOpMT,387.2,Adeosun (1978),Crystal,ABpiRd,CCCCCCCC(=O)O[Hg]OC(=O)CCCCCCC,mercury (II) octoate,,,,,,
pjlyA,265.43,Zawadzki et al. (2020),Crystal,ABavFV,C[N+]1(CCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-hydroxyethyl)-1-methylpyrrolidin-1-ium bis((trifluoromethyl)sulfonyl)amide,,,,,,
hgdQh,283,Gomez et al. (2018b),Crystal 1,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
MMMon,356.95,Mod et al. (1967),Crystal,ABIPDI,CCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,tridecanoic acid cyclohexylamine salt (1:1),,,,,,
GWljJ,442,Abranches et al. (2019),Crystal,AAdcHU,CC(O)C[N+](C)(C)C.[Cl-],beta.-methylcholine chloride,,,,,,
BvheT,370.35,Kawai et al. (2019),Crystal,ABnMVe,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-adamantyl-N,N,N-trimethylammonium bis(trifluoromethylsulfonyl)imide",,,,,,
KWLOG,251.2,Le et al. (2015),Crystal,ABhgJf,C[n+]1ccn(CC(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-methyl-3-(2,2,2-trifluoroethyl)imidazolium bis((trifluoromethyl)sulfonyl)imide",,,,,,
YIlTc,359.1,MacFarlane et al. (1999),Crystal 1,ABXrWT,CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
LCDsZ,364.1,Bhatt and Gohil (2013),Crystal,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,,,,,,
KnpaQ,490.1,Krolikowska et al. (2019b),Crystal 1,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,,,,
sNqur,365.9,Sastry and Trivedi (2021),Crystal,ABRMWg,CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1.[Cl-],1-hexadecyl-1-methylpiperidinium chloride,,,,,,
ginQJ,282.57,Fernandez et al. (2017),Crystal,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,,,,,,
OhZUe,361.75,Kick et al. (2013),Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
hrQAg,269.1,Fernandez et al. (2007),Crystal,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,
UXXQa,274.1,Annat et al. (2012),Crystal,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,,,
WWGoo,281.75,Pernak et al. (2012),Crystal,ABbmvz,CCCCCCCCCOC[n+]1ccccc1.O=S(=O)([O-])NC1CCCCC1,1-((nonyloxy)methyl)pyridinium N-cyclohexylsulfamate,,,,,,
uEBrO,424.1,Rad et al. (2020),Crystal,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,,,,,,
bwppq,262.1,Hachicha et al. (2019),Crystal,AAygSz,C=CC[N+](C)(C)CC.O=S(=O)([O-])C(F)(F)F,"N-ethyl-N,N-dimethylprop-2-en-1-aminium trifluoromethanesulfonate",,,,,,
wRIZF,268.3,Wachter et al. (2010),Crystal,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,,,,
REcpK,283.1,Huddleston et al. (2001),Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
paMmX,390.9,Kawai et al. (2019),Crystal,ABpxYV,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-adamantyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethylsulfonyl)imide",,,,,,
rCNvV,342.71,Kimaru et al. (2017),Crystal,ABkbba,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.COC(=O)[C@@H]([NH3+])Cc1ccccc1,methyl L-phenylalaninate comp. with bis(trifluoromethylsulfonyl)imide,,,,,,
CjpEi,324.1,Greaves et al. (2006),Crystal,AAXsWN,O=[N+]([O-])[O-].[NH3+]CCO,ethanolammonium nitrate,,,,,,
fiULT,460.55,Zodge et al. (2017),Crystal,ABEWMx,CO[C@H](C(=O)[O-])c1ccccc1.C[C@@H]([NH3+])C1CCCCC1,(R)-1-cyclohexylethan-1-aminium (S)-2-methoxy-2-phenylacetate,,,,,,
pSXTN,375.1,Kollau et al. (2018),Crystal,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,,,,
hQvvb,434.35,Ozdemir and Ozgun (2017),Crystal,ABPtPc,Cc1cc(C)[n+](-c2ccc(Br)cc2)n1C.F[B-](F)(F)F,"1-(4-bromophenyl)-2,3,5-trimethylpyrazolium tetrafluoroborate",,,,,,
ohxEF,378.15,Coker et al. (1970),Crystal 1,ABolfz,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCC.[O-]Cl(=O)(=O)=O,diheptyldihexylammonium perchlorate,,,,,,
mieGR,256.1,Annat et al. (2012),Crystal 1,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
BWaOp,308.1,Stolarska et al. (2021),Crystal,ACDgYF,CCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
MTlZs,305.1,Villanueva et al. (2015),Crystal 1,ABWiWC,CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
qytow,394.1,Galvez-Ruiz et al. (2005),Crystal,AAiXtN,Cn1nnn(N)c1=[NH2+].O=[N+]([O-])[O-],"1,5-diamino-4-methyl-4,5-dihydro-1H-tetrazol-1-ium nitrate",,,,,,
MFPYz,334.1,De Gaetano et al. (2015),Crystal,ABVJBa,CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.N#C[N-]C#N,"N,N,N-trimethyl-2-oxo-2-(tetradecyloxy)ethan-1-aminium dicyanamide",,,,,,
inqZu,292.1,Katsuta et al. (2010),Crystal,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",,,,,,
dtZjW,275,Vieira et al. (2016),Crystal,ABWEzw,CC[n+]1cccc(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylpyridinium perfluoropentanoate,,,,,,
pIkFo,487.6,Nakayama et al. (1989),Crystal,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,,,,
dUMFq,328.1,Weiss et al. (2017),Crystal,ACOVQa,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-octadecyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
OZqks,436,Vieira et al. (2016),Crystal,ABZceF,C[N+](C)(C)CCO.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium perfluorobutanesulfonate,,,,,,
JFMLk,285.9,Burton et al. (2019),Crystal,ADJqdF,CCCCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(2,3-bis(tetradecylthio)propyl)-1-methylimidazolium bis(trifluoromethanesulfonyl)amide",,,,,,
logbl,362,Gomez et al. (2018b),Crystal 1,ABXrWT,CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
pvCIF,274.9,Stejfa et al. (2020),Crystal,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,,,,,,
mIYYB,276.1,De La Hoz et al. (2014),Crystal,ABtBlu,CCCCCCCCCCn1c[n+](C)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-decyl-4-methyl-1H-1,2,4-triazol-4-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
vBvOn,377.15,De Gaetano et al. (2015),Crystal,ABedaZ,CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.F[B-](F)(F)F,"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium tetrafluoroborate",,,,,,
MzcXj,359.9,Pereiro et al. (2011),Crystal,ABFPkQ,CCCCCCCCCCCC[n+]1cccc(C)c1.[Cl-],1-dodecyl-3-methylpyridinium chloride,,,,,,
PZrwI,281.1,Curnow et al. (2018),Crystal,ABLwXD,[N-](C#N)C#N.c(N(CC)CC)1c(N(CC)CC)[c+]1N(CCCC)C,bis(diethylamino)(butylmethylamino)cyclopropenium dicyanamide,,,,,,
outdX,333.1,Zhou et al. (2005),Crystal 1,ABevtz,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluorobutyl)borate",,,,,,
GFPdN,425,Stolarska et al. (2016),Crystal,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,,,,,,
dCJIf,332.1,Ngo et al. (2000),Crystal,ACVkeQ,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,tetrabutylammonium tris[(trifluoromethyl)sulfonyl]methide,,,,,,
OMtqE,490.02,Krolikowska et al. (2019b),Crystal 1,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,,,,
gSSTu,378.75,Kimaru et al. (2017),Crystal,ABsgyz,CC(C)(C)OC(=O)[C@@H]([NH3+])Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,L-phenylalanine tert-butyl ester bis(trifluoromethylsulfonyl)amide,,,,,,
XkjkE,336.6,Aljuhani et al. (2019),Crystal,ABTfGp,Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1.O=C([O-])C(F)(F)F,1-(2-((3-fluoro-4-methylphenyl)amino)-2-oxoethyl)-3-methylpyridin-1-ium trifluoroacetate,,,,,,
rKwzR,343.1,Xue and Shreeve (2005),Crystal,AApdxw,O=[N+]([O-])[O-].[N-]=[N+]=NCC[n+]1cn(N)cn1,"4-amino-1-(2-azidoethyl)-4H-1,2,4-triazol-1-ium nitrate",,,,,,
DjdKF,326.9,Mezzetta et al. (2019),Crystal,ABSZqo,CCCCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium palmitate,,,,,,
ipZkW,285.1,MacFarlane et al. (1999),Crystal 1,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
WCnUQ,330.1,Castillo et al. (2021),Crystal,ACJemE,CCCCCCCCCCCCCCCC[n+]1ccsc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-hexadecylthiazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
gJCXr,266.7,Makino et al. (2013a),Crystal,ABdgRL,CCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethyl-N-ethyl-N-pentylammonium bis(trifluoromethylsulfonyl)",,,,,,
vMwjY,391.31,Tong et al. (2010b),Crystal,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,,,,,,
MjgOM,272.1,Nakamoto and Watanabe (2007),Crystal,ABcjFY,CCCCCC[NH+](CCCCCC)CCCCCC.O=S(=O)([O-])C(F)(F)F,trihexylammonium trifluoromethanesulfonate,,,,,,
CTqEd,253,Gomez et al. (2018b),Metastable crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
Ckuib,324.1,Xue et al. (2005),Crystal,AApDAZ,Cc1n(C)nn[n+]1N.[O-]Cl(=O)(=O)=O,"4-amino-1,5-dimethyl-1H-tetrazol-4-ium perchlorate",,,,,,
MJuZW,396.1,Medard and Thomas (1954),Crystal,AAxhua,O=[N+]([O-])OCC[NH2+]CCO[N+](=O)[O-].O=[N+]([O-])[O-],"2,2-dihydroxydiethylamine",,,,,,
RNqWr,259.7,Rodrigues et al. (2016),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
gkhez,335.25,Domanska and Paduszynski (2008),Crystal,ABeqQL,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(CCC)[P+](CCCC)(CCCC)CCCC,tetra-n-butylphosphonium p-toluenesulfonate,,,,,,
TcIRV,311.1,Sakizadeh et al. (2007),Crystal,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,,,,
eYSUm,276.1,Zhou et al. (2005),Crystal,ABOnJj,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)F,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoroethyl)borate",,,,,,
ldfir,289,Gomez et al. (2020),Crystal,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
cIdkG,283.4,Le et al. (2015),Crystal,ABdgZn,CCCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-N-methylbutan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,,,,
IATHT,338.1,Moore et al. (2019),Crystal,AGbVrm,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCC[n+]1ccn(CCn2cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,1'-(ethane-1,2-diyl)bis(3-(3-((3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio)propyl)-1H-imidazol-3-ium) bis((trifluoromethyl)sulfonyl)imide",,,,,,
Lcgtv,274.1,Annat et al. (2012),Crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
vQFcG,354.1,Govinda et al. (2011b),Crystal,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,,,,
KWoJD,339.1,Sakizadeh et al. (2007),Crystal,ABdMtf,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octadecylimidazolium tetrafluoroborate,,,,,,
fVpFw,353.6,Liu et al. (2020e),Crystal,ABXnJZ,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.F[B-](F)(F)F.F[B-](F)(F)F,"3,3'-(1,4-butanediyl)bis[1-methylimidazolium] tetrafluoroborate",,,,,,
xtqDC,261.9,Xue et al. (2016),Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
lpQBe,372.6,Domanska and Bogel-Lukasik (2005),Crystal 1,AAopKM,CCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylpropanaminium bromide",,,,,,
KnNTQ,379,Yamamoto et al. (2021),Crystal,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,,,,,,
atghD,324.4,Kawai et al. (2019),Crystal,ACLbWA,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-adamantyl-N,N-dimethyl-N-decylammonium bis(trifluoromethylsulfonyl)imide",,,,,,
WUwNL,353,Pereiro et al. (2011),Crystal,AApFXa,CCCCCC[n+]1cccc(C)c1.[Cl-],1-hexyl-3-methylpyridinium chloride,,,,,,
kbRIF,265.8,Archer (2006),Metastable crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
KhvRs,256.1,Bogel-Lukasik et al. (2010b),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SvbxT,279.1,Abdurrokhman et al. (2019),Crystal,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
jHnZe,378.65,Takaizumi and Wakabayashi (1980b),Crystal,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,,,,,,
KtSVN,340.8,Kawai et al. (2019),Crystal,ABhZrt,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,"N-adamantyl-N,N-dimethyl-N-hexylammonium bis(fluorosulfonyl)amide",,,,,,
Lqrwt,356,Fillion et al. (2016),Crystal,AAzggH,CCCCCCC[N+](CC)(CC)CC.c1c[n-]nn1,"triethylheptylammonium 1,2,3-triazolide",,,,,,
SNdjh,258.1,Tokuda et al. (2006a),Crystal,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,,,,
qdJYo,335.1,Ngo et al. (2000),Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
kTYTs,317.6,Liu et al. (2011b),Crystal,ABZTgF,CCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
BKWgN,383.1,Mukherjee et al. (2011),Crystal,AAHGiC,[F-].[NH4+],ammonium fluoride,,,,,,
gBohs,387.1,Ngo et al. (2000),Crystal,AAwYJq,CC(C)n1cc[n+](C)c1.[I-],1-methyl-3-(1-methylethyl)imidazolium iodide,,,,,,
nExhn,374,Xenopoulous et al. (1992),Crystal,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,,,,
