setid,"Temperature, K","Pressure, kPa","Specific density, kg/m³",reference,propertiy,phases,compound id 1,compound id 2,compound id 3,compound name 1,compound name 2,compound name 3
hRQDy,0.0,0.0,1214±9.1,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1244.3±7.6,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1274.4±6.4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1303.9±5.5,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1335.4±4.9,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1366.5±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1056.6±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1086±17,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1116±15,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1148±13,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1178±11,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1208.5±9.2,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1239±7.7,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1269.3±6.4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1298.9±5.5,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1330.3±4.9,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1361.6±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1050.1±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1080±17,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1111±15,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1142±13,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1173±11,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1203.4±9.2,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1234.3±7.8,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1265.3±6.5,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1295.4±5.6,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1327.5±4.9,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1359.5±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1043.4±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1074±17,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1105±15,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1136±13,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1167±11,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1197.8±9.2,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1229.1±7.8,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1260.2±6.5,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1290.9±5.6,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1323±4.9,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1355.2±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1036.6±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1067±17,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1098±15,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1130±13,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1162±11,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1192.9±9.3,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1224.4±7.8,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1255.4±6.6,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1286.8±5.7,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1318.9±5,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1351.6±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1029.9±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1060±17,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1092±16,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1126±13,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1157±11,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1188±9.3,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1219.5±7.9,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1250.8±6.6,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1282.1±5.7,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1314.1±5,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1347.2±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
sCZUd,0.0,0.0,1144.1±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1140.4±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1137.7±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1134.5±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1130.8±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1128.6±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1124.9±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1120.8±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1118±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1114.8±3,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1111.7±2.9,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
sCZUd,0.0,0.0,1108.4±2.9,Iwasaki et al. (2018),Density,Liquid,ABChyi,,,1-butyl-3-methylimidazolium phenyltrifluoroborate,,
LyRZl,0.0,0.0,1138.16±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1148.04±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1163.09±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1172.24±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1177.8±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1181.99±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1185.96±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1189.36±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1192.88±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1196.58±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1134.55±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1144.09±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1159.15±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1167.38±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1172.09±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1176.32±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1180.66±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1184.47±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1188.27±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1192.09±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1130.93±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1140.43±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1155.3±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1162.95±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1167.85±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1171.8±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1176.73±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1180.56±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1184.59±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1188.59±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1127.3±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1136.79±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1151.47±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1158.29±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1162.58±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1166.36±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1171.53±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1176.14±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1180.73±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1185.16±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1123.65±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1133.19±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1147.66±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1154.93±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1158.22±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1161.45±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1167.01±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1172.28±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1177.55±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1182.72±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1120±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1129.53±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1143.87±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1150.95±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1154.7±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1158.26±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1163.8±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1169.14±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1174.46±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1179.21±0.15,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1116.33±0.16,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1125.84±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
LyRZl,0.0,0.0,1140.07±0.17,Pal et al. (2013),Density,Liquid,AALwIY,AAuItX,,"1,2-ethanediol","1-butyl-2,3-dimethylimidazolium tetrafluoroborate",
